index	*ID	set	item	*ItemName	rarity	lvl	lvl req	chrtransform	invtransform	invfile	flippyfile	dropsound	dropsfxframe	usesound	cost mult	cost add	add func	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	aprop1a	apar1a	amin1a	amax1a	aprop1b	apar1b	amin1b	amax1b	aprop2a	apar2a	amin2a	amax2a	aprop2b	apar2b	amin2b	amax2b	aprop3a	apar3a	amin3a	amax3a	aprop3b	apar3b	amin3b	amax3b	aprop4a	apar4a	amin4a	amax4a	aprop4b	apar4b	amin4b	amax4b	aprop5a	apar5a	amin5a	amax5a	aprop5b	apar5b	amin5b	amax5b	diablocloneweight	*eol
Iratha's Cuff	10	Iratha's Finery	tgl	Light Gauntlets	7	21	15	lgry	lgry						5	2500	2	res-fire		50	50	dmg%		80	80	att		20	20	dur		20	20	indestruct		1	1	regen-mana		15	15	hit-skill	72	10	3	skilltab	7	1	1	regen		5	5	half-freeze		1	1	ac%		190	190	aura	Holy Fire	14	14	stamdrain		35	35	ac%		30	30	crush		25	25	res-ltng		40	40	cold-min		45	45	oskill	59	5	5	cold-max		140	140		0
Iratha's Coil	11	Iratha's Finery	crn	Crown	7	21	15	lgry	lgry						5	2500	2	hit-skill	234	5	7	regen		20	20	dmg%		170	170	hp		40	40	ac	0	30	30	ac%		200	200	att		102	102	skilltab	6	1	1	ass		2	2	pal		1	1	ac-miss		50	50	ac%		120	120	dmg%		400	400	dmg%	0	30	30	regen-mana		16	16	bar	0	2	2	hit-skill	Nova	10	15	skilltab	15	1	1	sor		2	2		0
Iratha's Cord	12	Iratha's Finery	tbl	Heavy Belt	7	21	15	lgry	lgry						5	2500	2	dur		12	12	dmg-max		20	20	ac%		210	210	dmg-fire		200	200	oskill	Bone Spirit	2	2	allskills		1	1	res-ltng		20	20	skilltab	5	2	2	hp		25	25	red-dmg		1	1	openwounds		60	60	mana		20	20	stamdrain		20	20	enr		20	20	all-stats		10	10	noheal		1	1	att	0	80	80	dmg%	0	80	80	light	0	2	2		0
Isenhart's Lightbrand	13	Isenhart's Armory	bsd	Broad Sword	7	11	8	lgld	lgld						5	2500	2	mana%		25	25	block		30	30	hit-skill	Confuse	11	18	oskill	118	3	3	dmg%		375	375	dmg-pois	175	312	312	dmg-undead	0	54	54	sor		2	2	dmg-max		1	1	oskill	58	3	3	hit-skill	91	4	1	pierce-immunity-poison		300	300	res-cold		15	15	res-cold	0	20	20					dmg-demon		40	40														0
Isenhart's Parry	14	Isenhart's Armory	gts	Gothic Shield	7	11	8	lgld	lgld						5	2500	2	swing3		30	30	dmg%		90	90	att		50	50	att%		20	20	ac-miss		100	100	cast3		20	20	res-ltng-max	0	10	10	str		10	10	hp		150	150	res-all		10	10	deadly		20	20	block2		30	30	mana		40	40	move2		45	45	manasteal		12	12	red-dmg		2	2					block		10	10						0
Isenhart's Case	15	Isenhart's Armory	brs	Breast Plate	7	11	8	lgld	lgld						5	2500	2	lifesteal		7	7	dmg-fire		33	33	dmg-norm		50	50	allskills		4	4	pierce-immunity-cold		300	300	res-all		50	50	oskill	13	3	3	res-ltng		30	30	mag%		50	50	stam		30	30	hp		15	15	res-all		11	11	ease		-30	-30	move3		30	30					dmg-max		8	8					str		20	20						0
Isenhart's Horns	16	Isenhart's Armory	fhl	Full Helm	7	11	8	lgld	lgld						5	2500	2	regen-stam		25	25	dmg-max		1	1	dmg-norm		65	65	hit-skill	Tornado	20	18	res-cold	0	10	10	cold-min		9	9	cold-max		30	30	res-fire		30	30	ac		25	25	dmg-dem/lvl	12			dmg-cold	75	30	30	cast3		35	35	res-ltng	0	16	16	skilltab	12	2	2	move1		10	10	res-cold		30	30					ac		100	100						0
Vidala's Barb	17	Vidala's Rig	lbb	Long Battle Bow	7	19	14	blac	blac						5	2500	2	block		10	10	dmg%		220	220	red-dmg		20	20	oskill	35	3	3	dmg-cold		200	200	pal		2	2	att		150	150	thorns		30	30	mana		2	2	dex		20	20	oskill	83	4	4	str/lvl	3			hp		60	60	mana		70	70	gethit-skill	Amplify Damage	35	14	res-pois		30	30	openwounds		66	66	red-dmg		4	4	vit		15	15		0
Vidala's Fetlock	18	Vidala's Rig	tbt	Light Plated Boots	7	19	14	blac	blac						5	2500	2	swing2		40	40	red-dmg		20	20	cast2		30	30	hit-skill	Charged Bolt	11	9	str		10	10	dex		15	15	mana		40	40	dmg-max		1	1	allskills		2	2	freeze		2	2	nofreeze		1	1	crush		50	50	extra-fire		15	15	allskills		1	1	skilltab	10	2	2	res-all	0	14	14	light		-1	-1	att-undead		50	50	dex		10	10		0
Vidala's Ambush	19	Vidala's Rig	lea	Leather Armor	7	19	14	blac	blac						5	2500	2	dex		10	10	hit-skill	66	6	1	kill-skill	Decrepify	50	6	lifesteal		13	13	extra-fire		5	5	deadly/lvl	3			mana		12	12	skilltab	1	1	1	mag%		35	35	dmg%		250	250	str		5	5	swing2		20	20	light		-4	-4	res-cold		7	7	hp%		5	5	skilltab	5	1	1	mana		59	59	mag%		100	100	enr		10	10		0
Vidala's Snare	20	Vidala's Rig	amu	Amulet	7	19	14	blac	blac						5	2500	2	fire-min		1	1	fire-max		2	2	skilltab	11	3	3	mag%/lvl	4			regen		20	20	att		110	110	skill-rand	3	36	60	ac		15	15	str		10	10	res-fire		20	20	res-cold		60	60	res-all		15	15	lifesteal		12	12	thorns		30	30	str		10	10	stam		24	24	reduce-ac		25	25	att		200	200	res-pois		10	10		0
Milabrega's Orb	21	Milabrega's Regalia	kit	Kite Shield	7	23	17	dblu	dblu						5	2500	2	red-mag		7	7	dmg%		230	230	ac		35	35	mana		13	13	nec	0	1	1	oskill	102	6	6	regen		10	10	ltng-min		1	1	ltng-max		5	5	oskill	51	1	1	light		4	4	dmg-demon		100	100	dur		250	250	cast2		30	30	dmg-undead		200	200	lifesteal		9	9	oskill	101	5	5	allskills		1	1	res-all		50	50		0
Milabrega's Rod	22	Milabrega's Regalia	wsp	War Scepter	7	23	17	dblu	dblu						5	2500		dmg%		280	280	mana%		10	10	res-all		50	50	mana		150	150	fireskill		1	1	ac		40	40	ac%		100	100	oskill	21	3	3	dmg-min	0	10	10	reduce-ac		33	33	dmg%		150	150	pierce-fire		15	15	cast3		20	20	ease		-50	-50	dmg-to-mana		12	12	ac		150	150	dmg-min		2	2	dmg-ltng		477	477	dmg-max		10	10		0
Milabrega's Diadem	23	Milabrega's Regalia	crn	Crown	7	23	17	dblu	dblu						5	2500	2	res-cold		50	50	dmg%		70	70	hit-skill	66	5	1	oskill	62	6	6	dur		100	100	att%		20	20	regen-mana		15	15									dex		12	12	mag%		3	3	hp/lvl	10							slow		10	10																						0
Milabrega's Robe	24	Milabrega's Regalia	aar	Ancient Armor	7	23	17	dblu	dblu						5	2500	2	dmg-min		5	5	ac%		100	100	ac-miss		40	40	vit		10	10	mana		20	20	str		20	20	swing2		30	30	dex	0	3	3	res-fire	0	12	12	thorns		8	8	nec		3	3	pal		2	2	hp	0	38	38	oskill	19	5	5	dmg-max		14	14	mana/lvl	12			str		10	10	deadly		50	50	oskill	52	3	3		0
Cathan's Rule	25	Cathan's Traps	bst	Battle Staff	7	15	11	dgrn	dgrn						5	2500	2	nec		1	1	dex		10	10	allskills		2	2	str		12	12	res-cold		30	30	dmg%		40	40													oskill	36	5	5	ac%		50	50	att		100	100	skilltab	3	1	1	allskills		2	2	oskill	54	3	3	att/lvl	16							res-fire		20	20						0
Cathan's Mesh	26	Cathan's Traps	chn	Chain Mail	7	15	11	dgrn	dgrn						5	2500	2	hp/lvl	10			dmg-norm		50	50	gethit-skill	121	5	7	att-demon		300	300	swing2		25	25	ac		60	60													dur		30	30	crush		20	20	str		20	20	dmg%		220	220	light		1	1	regen		25	25	dmg-max		3	3	ac		15	15	res-ltng		11	11	gold%/lvl	25				0
Cathan's Visage	27	Cathan's Traps	msk	Mask	7	15	11	dgrn	dgrn						5	2500	2	regen		20	20	nofreeze		1	1	hit-skill	Poison Explosion	15	9	res-all		10	10	block		20	20	sock		2	2	hp		10	10	crush	0	35	35	oskill	Fire Mastery	3	3	skilltab	11	2	2	fireskill		2	2	att%		250	250	ease		-60	-60	str		16	16	crush		25	25	mana		20	20	ac		40	40	allskills		1	1						0
Cathan's Sigil	28	Cathan's Traps	amu	Amulet	7	15	11	dgrn	dgrn						5	2500	2	res-all		15	15	half-freeze		1	1	dmg-fire		48	48	light		3	3	mana		30	30	mag%		15	15	skilltab	1	1	1	ac-miss		50	50					light		3	3	gethit-skill	46	5	8	block		40	40	ac		60	60	oskill	Zeal	1	1	res-all		30	30	gold%		120	120	oskill	65	1	1	enr		6	6						0
Cathan's Seal	29	Cathan's Traps	rin	Ring	7	15	11	dgrn	dgrn						5	2500	2	dmg%		100	100	openwounds		80	80	vit		12	12	dex		20	20	balance3		55	55	res-ltng		30	30	dmg-pois	75	36	36	ac		15	15	res-cold		5	5	dmg-pois	200	384	384	deadly		35	35	ac		30	30	dmg%		320	320	att		60	60	gethit-skill	38	12	4	nec	0	1	1	res-pois		10	10	mag%		5	5	dmg-ltng		3	3		0
Tancred's Crowbill	30	Tancred's Battlegear	mpi	Military Pick	7	27	20	dgld	dgld						5	2500	2	block		20	20	dmg-fire		250	250	str		20	20	hit-skill	Decrepify	33	1	oskill	118	3	3	ama		1	1	dmg-min		5	5									cold-min		2	2	dex		5	5	cold-max		5	5	hit-skill	121	5	4	cold-len		25	25	pierce-cold		5	5	oskill	83	15	15	ac-hth		40	40	mag%		25	25	dmg-demon		300	300		0
Tancred's Spine	31	Tancred's Battlegear	ful	Full Plate Mail	7	27	20	dgld	dgld						5	2500	2	ac		17	17	cold-min		13	13	cold-max		25	25	dmg-max		20	20	light		3	3	balance1		10	10	mana/lvl	6											att		25	25	dmg-fire		2	2	block2		30	30					reduce-ac		25	25					res-pois-len		75	75														0
Tancred's Hobnails	32	Tancred's Battlegear	lbt	Boots	7	27	20	dgld	dgld						5	2500	2	red-dmg		5	5	stupidity		1	1	nofreeze		1	1	oskill	Teleport	1	1	dmg-to-mana		12	12	res-pois	0	10	10	stam		16	16	dmg-pois	75	35	35	dmg-max		12	12	dmg-cold	150	486	486	mana		10	10	gold%		-33	-33	dmg%		80	80	ama	0	2	2	extra-ltng		15	15	dmg-min		3	3	ac%		180	180	dex		15	15	thorns	0	12	12		0
Tancred's Weird	33	Tancred's Battlegear	amu	Amulet	7	27	20	dgld	dgld						5	2500	2	oskill	264	5	5	res-ltng		20	20	ac%		180	180	att-skill	Charged Bolt	20	20	hit-skill	Bone Spirit	30	20	move3		30	30	dmg-ltng		33	33	mana	0	30	30	balance3		24	24	res-pois-max		20	20	res-cold		30	30	att		75	75	res-fire-max		10	10	oskill	77	2	2	dru		3	3	res-pois-len		75	75	dmg%		240	240	state	fullsetgeneric	1	1	att	0	60	60		0
Tancred's Skull	34	Tancred's Battlegear	bhm	Bone Helm	7	27	20	dgld	dgld						5	2500	2	att-skill	47	10	6	pierce-pois		25	25	lifesteal		20	20	ac%		30	30	block2		10	10	res-fire		24	24	dmg-max		2	2	sock		3	3					att%		50	50	gethit-skill	Amplify Damage	35	14	red-mag		10	10	ac		18	18	mana%		15	15	light		5	5	move2		20	20					mana		70	70						0
Sigon's Gage	35	Sigon's Complete Steel	hgl	Gauntlets	7	9	6	whit	whit						5	2500	2	ac%		130	130	dmg-ltng		240	240	enr		15	15	thorns		5	5	red-mag		15	15	dmg%		150	150	oskill	12	8	8	att		200	200					dmg%		80	80	res-all		30	30	ac		60	60					move3		35	35					ltng-min	0	1	1					ltng-max	0	40	40						0
Sigon's Visor	36	Sigon's Complete Steel	ghm	Great Helm	7	9	6	whit	whit						5	2500	2	res-pois		50	50	dmg%		180	180	skilltab	16	4	4	stam		25	25	hp	0	31	31	ac		18	18	cold-min		1	1	cold-max		3	3	regen-mana		15	15	aura	Sanctuary	18	18	balance2		50	50	ac		15	15	res-fire		5	5	mana		7	7	freeze		2	2	dmg-max		3	3	deadly/lvl	3			crush	0	35	35						0
Sigon's Shelter	37	Sigon's Complete Steel	gth	Gothic Plate	7	9	6	whit	whit						5	2500	2	dex		10	10	enr		10	10	dmg-pois	100	153	153	extra-ltng		15	15	vit		40	40	dmg%		290	290	cast3		20	20	block3		40	40	manasteal	0	5	5	ac%		160	160	enr		20	20	regen		-30	-30	dmg%	2	75	75	enr		5	5	str		10	10	light		3	3	res-pois		7	7	dmg-undead		125	125	sock	3				0
Sigon's Sabot	38	Sigon's Complete Steel	hbt	Greaves	7	9	6	whit	whit						5	2500	2	swing2		40	40	aura	Holy Fire	14	14	dmg-max		3	3	str		20	20	dmg%		65	65	skilltab	6	2	2	oskill	244	3	3	enr		1	1	mag%		50	50	gethit-skill	59	4	6	str		15	15	dmg-ltng		120	120	ac		35	35	att		250	250	hp%		5	5	str		35	35	att		60	60	res-all	0	15	15	oskill	45	8	8		0
Sigon's Wrap	39	Sigon's Complete Steel	hbl	Plated Belt	7	9	6	whit	whit						5	2500	2	light		3	3	dmg%		120	120	balance2		20	20	enr		5	5	oskill	Raven	7	7	dmg		400	400	ac/lvl	16			mana	0	25	25	res-all		15	15	hit-skill	Decrepify	33	1	att		100	100	swing2		20	20	oskill	19	5	5	balance2		20	20	ac%		150	150	mana		90	90	balance2		20	20	mag%/lvl	12			dmg-ltng		200	200		0
Sigon's Guard	40	Sigon's Complete Steel	tow	Tower Shield	7	9	6	whit	whit						5	2500	2	swing3		30	30	ac-miss		100	100	ac		100	100	sor		3	3	hit-skill	Bone Spear	100	18	dmg%		200	200	regen-stam		50	50	dmg-max		2	2					res-all		40	40	ac		105	105																																		0
Infernal Cranium	41	Infernal Tools	cap	Cap	7	7	5	lyel	lyel						5	2500	2	mag%		40	40	dmg%		100	100	block2		30	30	dmg-to-mana		15	15	hit-skill	42	20	10	skilltab	14	1	1	regen-mana		8	8									vit		20	20	hp%		5	5	abs-ltng		14	14	dmg-max		10	10	hit-skill	Life Tap	10	18	oskill	112	6	6	thorns		5	5					allskills		1	1						0
Infernal Torch	42	Infernal Tools	gwn	Grim Wand	7	7	5	lyel	lyel						5	2500	2	hit-skill	52	2	10	ama		2	2	levelup-skill	Nova	100	41	res-all		40	40	mag%	0	24	24	regen		7	7	res-fire	0	10	10	att		132	132	hp		8	8	hit-skill	56	2	6	ac		100	100	dmg-ltng		74	74	mana		39	39	nec		2	2	gethit-skill	Terror	14	13	skilltab	12	3	3					gethit-skill	38	12	4						0
Infernal Sign	43	Infernal Tools	tbl	Heavy Belt	7	7	5	lyel	lyel						5	2500	2	regen-mana		20	20	swing3		30	30	vit		20	20	balance2		30	30	red-mag		4	4	res-cold		25	25	enr		15	15	hp		20	20	oskill	126	10	10	red-dmg		2	2	swing2		30	30	mag%		88	88	nofreeze		1	1	enr		6	6	dmg-norm		62	62	dmg-fire		2	2	oskill	101	5	5	att%	0	40	40	red-dmg%		30	30		0
Berserker's Headgear	44	Berserker's Garb	hlm	Helm	7	5	3	dred	dred						5	2500	2	light		2	2	dex		5	5	ac-miss		50	50	crush		20	20	cheap		15	15	ease		-15	-15	skilltab	9	1	1	res-fire		10	10	gold%		100	100	dmg%		120	120	dmg-ltng		6	6	hit-skill	81	10	1	oskill	Teleport	1	1	ac-miss		100	100	stam		25	25	res-cold		35	35	hp		15	15	hp	0	38	38	dmg-pois	100	39	39		0
Berserker's Hauberk	45	Berserker's Garb	spl	Splint Mail	7	5	3	dred	dred						5	2500	2	swing1		10	10	res-pois		50	50	light		5	5	res-cold-max		5	5	dmg%		20	20	red-dmg		3	3	manasteal		6	6	balance2		30	30					hit-skill	Quickness	5	1	hit-skill	52	2	10	sor		1	1					regen		18	18					balance3		12	12														0
Berserker's Hatchet	46	Berserker's Garb	2ax	Double Axe	7	5	3	dred	dred						5	2500	2	ac-miss		80	80	ac		25	25	light		2	2	att		20	20	res-cold		40	40	att%		20	20	mag%		30	30	oskill	47	4	4	dmg-pois	150	86	86	res-fire		45	45	att%		50	50	rep-dur	25			str		5	5	lifesteal		7	7	dmg%		350	350	oskill	27	3	3	gethit-skill	55	10	3					ac		25	25		0
Death's Hand	47	Death's Disguise	lgl	Leather Gloves	7	8	6	lred	lred						5	2500	2	red-mag		3	3	res-fire		40	40	gethit-skill	38	2	0	pierce-cold		15	15	ignore-ac		1	1	oskill	Revive	20	20	res-cold		40	40	lifesteal		4	4	nofreeze		1	1	att		75	75	thorns		47	47	light-thorns		10	10	mana%		15	15	res-ltng		50	50	manasteal	0	2	2	ac		125	125	bar	0	2	2	enr		30	30	skilltab	14	2	2		0
Death's Guard	48	Death's Disguise	lbl	Sash	7	8	6	lred	lred						5	2500	2	res-cold		20	20	manasteal		3	3	abs-cold%		20	20	str		30	30	vit		15	15	abs-mag		15	15	att/lvl	24			regen-mana	0	12	12	dmg-undead		125	125	lifesteal	0	2	2	ac		100	100	dmg-max		15	15	demon-heal		10	10	cold-min		45	45	noheal		1	1	cold-max		140	140	freeze		3	3	gethit-skill	Mind Blast	6	14	mag%/lvl	12				0
Death's Touch	49	Death's Disguise	wsd	War Sword	7	8	6	lred	lred						5	2500	2	att		100	100	vit		20	20	red-dmg%		15	15	aura	Concentration	12	12	oskill	8	6	6	cold-min		5	5	cold-max		9	9	cold-len		25	25	manasteal		14	14	ac		20	20	lifesteal		9	9	allskills		1	1	res-pois		20	20	swing3		30	30	oskill	34	4	4	enr		10	10					oskill	240	3	3						0
Angelic Sickle	50	Angelical Raiment	sbr	Sabre	7	17	12	lgry	lgry						5	2500	2	stamdrain		40	40	vit		20	20	regen-mana		16	16	allskills		4	4	res-pois		30	30	sor		1	1	ac		25	25	res-fire		25	25	dex		15	15	dmg-max		30	30	thorns		8	8	res-all		35	35	cast2		50	50	nofreeze		1	1	dmg%		200	200	att/lvl	20			att	0	80	80	mag%		65	65	dmg-pois	75	52	52		0
Angelic Mantle	51	Angelical Raiment	rng	Ring Mail	7	17	12	lgry	lgry						5	2500	2	mana		15	15	dmg%		140	140	balance2		30	30	gethit-skill	Delerium Change	1	50	freeze		1	1	light		-3	-3	pierce-pois		25	25	dmg-undead	0	28	28	mag%		5	5	res-pois		30	30	res-fire		50	50	balance2		10	10	att		20	20	swing2		20	20	att%		250	250	allskills		1	1	skilltab	4	1	1	move3		30	30	oskill	106	7	7		0
Angelic Halo	52	Angelical Raiment	rin	Ring	3	17	12	lgry	lgry						5	2500	2	half-freeze		1	1	ac/lvl		16	16	ac%		100	100	dmg%	0	50	50	sor	0	2	2	fire-min		10	10	fire-max		30	30									dmg%		100	100	dex		10	10	res-pois-len		50	50	manasteal		8	8	ac-hth		200	200	cast1		10	10	red-mag		2	2	hp/lvl	6			red-dmg		1	1						0
Angelic Wings	53	Angelical Raiment	amu	Amulet	7	17	12	lgry	lgry						5	2500	2	abs-cold%		15	15	ease		-60	-60	manasteal		6	6	enr		20	20	cast2		10	10	hit-skill	42	20	10	ltng-min		1	1	ltng-max		23	23	dmg%		180	180	att		150	150	res-pois		75	75	dmg-fire		200	200	res-cold		40	40	mana		23	23	ac		125	125	swing2		20	20	str		20	20	res-fire-max	0	10	10	manasteal	0	5	5		0
Arctic Horn	54	Arctic Gear	swb	Short War Bow	7	3	2	lgld	lgld						5	2500	2	swing2		10	10	dex		5	5	dmg%		190	190	att-undead		350	350	dmg-cold	250	500	500	skill-rand	3	36	60	res-all		25	25	block2		15	15	att-skill	39	5	3	res-all		10	10	dex		8	8	crush		50	50	ac%		200	200	move3		30	30	vit		20	20	dmg-cold	100	50	50	str		15	15	ac		100	100	dmg-min		5	5		0
Arctic Furs	55	Arctic Gear	qui	Quilted Armor	7	3	2	lgld	lgld						5	2500	2	swing2		10	10	ac%		130	130	oskill	Critical Strike	2	2	enr		10	10	regen-mana	0	12	12	dmg-max		6	6	skilltab	5	2	2	str		10	10	ac		150	150	att		30	30	gethit-skill	Mind Blast	6	14	att%		50	50	slow		25	25	ac		75	75	res-fire		30	30	ac/lvl	16			mag%	0	15	15	str		4	4	att		20	20		0
Arctic Binding	56	Arctic Gear	vbl	Light Belt	7	3	2	lgld	lgld						5	2500	2	death-skill	Meteor	100	31	cold-min		1	1	cold-max		4	4	cold-len		75	75	mana		30	30	red-mag		3	3	ac%		190	190	dmg-pois	100	205	205	dmg-to-mana		20	20	deadly		50	50	cast3		20	20	light		1	1	att		102	102	swing2		40	40	ac%		200	200	lifesteal		15	15	ease		-15	-15	mag%		4	4	regen		10	10		0
Arctic Mitts	57	Arctic Gear	tgl	Light Gauntlets	7	3	2	lgld	lgld						5	2500	2	oskill	54	3	3	enr		20	20	ac%		80	80	att	0	80	80	mana		33	33	res-cold		15	15	red-dmg		1	1	swing2		20	20	allskills		1	1	abs-cold		15	15	lifesteal		5	5	kill-skill	enchant	30	21	oskill	225	12	12	ac		40	40	skilltab	7	2	2	oskill	12	8	8	res-cold	0	22	22	att		200	200	allskills		2	2		0
Arcanna's Sign	58	Arcanna's Tricks	amu	Amulet	1	20	15	blac	blac						5	2500	2	dmg%		100	100	dru		3	3	thorns		10	10	ease		-50	-50	cast2		20	20	oskill	Life Tap	12	12	res-cold		20	20	gethit-skill	38	12	4	res-all		50	50	att		75	75	ac		50	50	block2		30	30	gold%		100	100	ac		150	150	balance2		10	10	half-freeze		1	1	res-fire		50	50	balance3		25	25	dmg-ltng/lvl	16				0
Arcanna's Deathwand	59	Arcanna's Tricks	wst	War Staff	7	20	15	blac	blac						5	2500	2	res-pois		30	30	att		70	70	cast3		20	20	res-all		30	30	sock		3	3	block2		20	20	pal	0	2	2	enr		10	10	str		6	6	dmg-min	0	10	10	ac/lvl	16			mana		40	40	deadly		33	33	fire-min		3	3	res-all		15	15	fire-max		7	7	indestruct		1	1	dur		20	20	res-pois-len		75	75		0
Arcanna's Head	60	Arcanna's Tricks	skp	Skull Cap	7	20	15	blac	blac						5	2500	2	dmg%		150	150	cold-min		3	3	cold-max		10	10	cold-len		50	50	cast1		10	10	ac/lvl	30			gethit-skill	48	25	3	extra-cold		30	30	stupidity		1	1	att%		50	50	sock		5	5	cold-min		1	1	res-ltng		40	40	cold-max		6	6	oskill	Teleport	1	1	cold-len		50	50					dmg-demon		380	380						0
Arcanna's Flesh	61	Arcanna's Tricks	ltp	Light Plate	7	20	15	blac	blac						5	2500	2	dex		25	25	res-fire		40	40	dmg-cold		220	220	att		66	66	bar	0	2	2	mana-kill	0	1	1	ac		30	30									ac%		200	200	dmg-ltng		60	60	dex		25	25	abs-fire		21	21	light		3	3	hp%		5	5	dmg-min		5	5	att	0	20	20	oskill	86	5	5	oskill	49	4	4		0
Expansion																																																																																															
Natalya's Totem	62	Natalya's Odium	xh9	Grim Helm	7	22	59	dgry	dgry						5	5000		ac		30	30	nofreeze		1	1	gethit-skill	121	5	7	att		35	35	str		15	15	ac-miss		250	250	pois-min	0	143	143	pois-max	0	143	143	pois-len	0	179	179	dmg%		300	300	light		2	2	light-thorns		10	10	gethit-skill	93	5	10	hp		50	50	deadly		20	20	swing3		40	40	dmg-undead		50	50	state	fullsetgeneric	1	1	ac		108	108		0
