name	letter	transform	code	weaponMod1Code	weaponMod1Param	weaponMod1Min	weaponMod1Max	weaponMod2Code	weaponMod2Param	weaponMod2Min	weaponMod2Max	weaponMod3Code	weaponMod3Param	weaponMod3Min	weaponMod3Max	helmMod1Code	helmMod1Param	helmMod1Min	helmMod1Max	helmMod2Code	helmMod2Param	helmMod2Min	helmMod2Max	helmMod3Code	helmMod3Param	helmMod3Min	helmMod3Max	shieldMod1Code	shieldMod1Param	shieldMod1Min	shieldMod1Max	shieldMod2Code	shieldMod2Param	shieldMod2Min	shieldMod2Max	shieldMod3Code	shieldMod3Param	shieldMod3Min	shieldMod3Max
Eth Rune	r05L	18	r05	dmg%		100	100	fire-min	0	15	15	fire-max	0	20	20	dmg-to-mana		12	12	hp		20	20	res-fire		11	11	dmg-pois	50	187	187	dmg-demon		200	200	res-all		10	10
Ith Rune	r06L	18	r06	gold%		75	75	swing3		40	40	res-cold		40	40	indestruct		1	1	mag%		25	25	dmg-min		1	1	hit-skill	Poison Explosion	15	9	thorns		5	5	balance2		25	25
Tal Rune	r07L	18	r07	vit		15	15	res-all		30	30	dmg%		20	20	aura	Thorns	21	21	balance2		10	10	dmg/lvl	6			cast3		50	50	oskill	IronGolem	17	17	mag%		19	19
Ral Rune	r08L	18	r08	red-dmg%		10	10	dex		15	15	dmg-max		5	5	ac		35	35	oskill	27	3	3	crush		20	20	pal		2	2	vit		15	15	gethit-skill	72	4	5
Ort Rune	r09L	18	r09	dur		20	20	dmg-demon		150	150	allskills		2	2	str		16	16	light		-2	-2	hp		20	20	dmg-fire		333	333	dmg%		320	320	res-all		7	7
Thul Rune	r10L	18	r10	slow		50	50	oskill	150	4	4	regen-mana		15	15	res-all		10	10	pierce-fire		28	28	mana		30	30	att	0	100	100	dmg-demon		75	75	res-pois		15	15
Amn Rune	r11L	18	r11	ease		-20	-20	ac		261	261	oskill	Fire Wall	13	13	cast2		20	20	gethit-skill	Fade	6	11	res-all	0	14	14	manasteal		7	7	pierce-immunity-fire		300	300				
Sol Rune	r12L	18	r12	openwounds		33	33	half-freeze		1	1	ac%		220	220	oskill	83	6	6	att		50	50	dmg-ltng		15	15	str		20	20	res-cold		11	11	oskill	39	10	10
Shael Rune	r13L	18	r13	str		5	5	skilltab	7	2	2	dmg%		20	20	dmg-undead		50	50	indestruct		1	1	str		20	20	swing2		10	10	balance2		25	25	manasteal		6	6
Dol Rune	r14L	18	r14	pois-min		48	48	pois-max		96	96	pois-len		150	150	light-thorns		15	15	crush		33	33	move3		30	30	dmg-cold	150	486	486	hit-skill	Frozen Orb	15	13	dmg-undead		75	75
Hel Rune	r15L	18	r15	nec		2	2	dmg%		230	230	gold%		10	10	dur		40	40	gethit-skill	Bone Armor	15	10	mag%/lvl	8			kill-skill	Decrepify	50	6	hp		40	40	lifesteal		3	3
Io Rune	r16L	18	r16	openwounds		60	60	dur		40	40	reduce-ac		33	33	res-pois		20	20	res-ltng		33	33	noheal		1	1	dmg-norm		45	45	att-skill	Nova	15	22	enr		9	9
Lum Rune	r17L	18	r17	oskill	49	4	4	fire-min		120	120	fire-max		180	180	dmg-max		15	15	att	0	150	150	manasteal		6	6	ac%		150	150	mana		20	20				
Ko Rune	r18L	18	r18	dmg%		210	210	swing2		40	40	ac/lvl	16			move2		25	25	str		15	15	oskill	Venom	3	3	dmg-fire		6	6	vit		10	10	oskill	Battle Command	6	6
Fal Rune	r19L	18	r19	dmg%		230	230	ac%		150	150					skilltab	17	3	3	cast3		65	65	oskill	36	10	10	mana		33	33	mag%	0	9	9	dmg-pois	75	18	18
Lem Rune	r20L	18	r20	ac%		85	85	light		3	3	balance2		30	30	ac		50	50	att		60	60	mana		90	90	regen		10	10	dex		15	15	skilltab	1	1	1
Pul Rune	r21L	18	r21	mana		20	20	swing2		20	20	att		64	64	res-fire-max		15	15	ac		25	25	fireskill		3	3	oskill	48	15	15	dmg%		120	120	gethit-skill	Confuse	10	15
Um Rune	r22L	18	r22	cold-min	0	6	6	cold-max	0	10	10	cold-len	0	60	60	res-pois		25	25	dur		30	30	oskill	Battle Orders	2	2	dmg-fire		9	9	mana		35	35	regen	0	4	4
Mal Rune	r23L	18	r23	dmg%		280	280	gethit-skill	Poison Nova	10	10	regen-mana	0	8	8	att%		50	50	light		7	7	regen-mana		30	30	dmg%		80	80	dmg-fire		200	200	res-cold	0	30	30
Ist Rune	r24L	18	r24	dmg-fire		48	48	dmg-demon		100	100	pal		1	1	mana-kill		2	2	ease		-25	-25	light		5	5	block2		40	40	manasteal		5	5	hp		25	25
Gul Rune	r25L	18	r25	dmg%		400	400	str		10	10	mana	0	30	30	bar		2	2	att%		25	25	res-cold		30	30	att-und/lvl	20			dmg-fire		483	483	dmg-pois	50	187	187
Vex Rune	r26L	18	r26	res-all		10	10	res-fire-max		5	5	ac/lvl	20			oskill	73	5	5	skilltab	0	2	2	dmg-pois	150	86	86	str		15	15	cast2		10	10	red-dmg%		8	8
Ohm Rune	r27L	18	r27	dmg-ltng		20	20	hp		20	20	gethit-skill	42	10	3	oskill	64	9	9	dmg-to-mana		20	20	mana	0	38	38	openwounds		15	15	regen	0	3	3	state	fullsetgeneric	1	1
Lo Rune	r28L	18	r28	ac		75	75	dmg%		200	200	ac%		200	200	dur		100	100	dex		15	15	enr		3	3	move2		25	25	ac%		50	50	red-mag		1	1
Sur Rune	r29L	18	r29	dmg-demon		100	100	vit		24	24	light-thorns		5	5	res-all		40	40	att	0	80	80	mana/lvl	6			mana		22	22	str		10	10	hp		5	5
Ber Rune	r30L	18	r30	block		30	30	dmg-norm		50	50	nofreeze		1	1	att		50	50	ac%		200	200	res-cold		15	15	oskill	37	3	3	ac%		80	80	mana		30	30
Jah Rune	r31L	18	r31	ac-miss		100	100	light-thorns		15	15	balance2		30	30	res-fire		25	25	dmg%		190	190	regen-mana		15	15	hit-skill	92	5	8	lifesteal		3	3	dmg-cold/lvl	12		
Cham Rune	r32L	18	r32	nofreeze		1	1	ease		-50	-50	res-ltng-max		5	5	dex		10	10	hit-skill	56	2	4	mana		50	50	dmg-ltng		30	30	dru		2	2	dmg-demon		75	75
Zod Rune	r33L	18	r33	move2		10	10	crush		25	25	red-mag	0	1	1	dmg%		270	270	att		100	100	hp		10	10	pal		2	2	aura	Conviction	12	12	att-skill	36	10	4
