index	*ID	version	enabled	firstLadderSeason	lastLadderSeason	rarity	nolimit	lvl	lvl req	code	*ItemName	carry1	cost mult	cost add	chrtransform	invtransform	flippyfile	invfile	dropsound	dropsfxframe	usesound	prop1	par1	min1	max1	prop2	par2	min2	max2	prop3	par3	min3	max3	prop4	par4	min4	max4	prop5	par5	min5	max5	prop6	par6	min6	max6	prop7	par7	min7	max7	prop8	par8	min8	max8	prop9	par9	min9	max9	prop10	par10	min10	max10	prop11	par11	min11	max11	prop12	par12	min12	max12	diablocloneweight	*eol
Iros Torch	10	0	1			1		7	5	wnd	Wand		5	5000	cred			invwndu				dmg%		70	90	dur		50	50	allskills		1	1	lifesteal		7	10	pierce-immunity-magic		300	300	cold-min		4	6	cold-max		9	12	cold-len		25	25	rip		1	1	att		40	40	ltng-min		1	1	ltng-max		45	79		0
Maelstromwrath	11	0	1			1		19	14	ywn	Yew Wand		5	5000	dblu	dblu						dmg%		70	70	red-mag		10	10	mana%		15	15	light		-2	-2	thorns/lvl	8			str		2	2	swing2		20	20	kill-skill	Chain Lightning	50	20	res-pois	0	16	16	regen-mana		15	15	mag%		10	19	lifesteal		4	7		0
Gravenspine	12	0	1			1		27	20	bwn	Bone Wand		5	5000	cgrn			invbwnu				dmg-undead		50	60	res-pois		45	45	skilltab	12	1	3	oskill	Skeleton Mastery	1	2	mana-kill		2	2	allskills		4	4	light		2	2	regen-mana	0	8	8	stam		9	16	dmg/lvl	4			gold%		10	30	manasteal		7	7		0
Umes Lament	13	0	1			1		38	28	gwn	Grim Wand		5	5000	lblu	lblu						dmg-ltng		1	40	res-all		10	10	stamdrain		25	25	pal		1	1	ac%		60	100	slow		75	75	block2		30	30	regen-mana		10	15	res-fire		24	24	crush		35	40	mag%		16	25	ac		50	50		0
Felloak	14	0	1			1		4	3	clb	Club		5	5000	lgry			invclbu				regen-mana		5	5	red-mag		2	2	dmg%		100	100	hp		10	10	manasteal		6	6	ac%		130	140	oskill	Holy Bolt	2	4	mag%		23	23	dmg-cold	150	6	18	ac		75	75	thorns	0	16	16	res-all		8	11		0
Knell Striker	15	0	1			1		7	5	scp	Scepter		5	5000	dred	dred						lifesteal		9	12	allskills		1	1	str		20	20	ignore-ac		1	1	ac%		170	220	res-fire		-90	-70	dmg%		280	320	slow		25	25	move3		40	40	res-ltng		30	30	skilltab	2	1	1	dex		10	15		0
Rusthandle	16	0	1			1		23	17	gsc	Grand Scepter		5	5000	lgld	lgld						res-fire		37	37	light		2	2	regen		10	10	dmg-pois	100	153	153	mana-kill		5	5	allskills		2	2	ac%		220	260	gethit-skill	Slow Missiles	4	5	mag%		25	25	dmg%		80	80	thorns		8	8	res-all		30	30		0
Stormeye	17	0	1			1		31	23	wsp	War Scepter		5	5000	cred	cred						dmg-ltng		7	477	oskill	81	6	6	res-cold		35	35	lifesteal		7	7	dmg%		300	385	res-fire		25	25	enr		40	50	ignore-ac		1	1	bar		3	3	cold-min		4	4	cold-max		8	8	cold-len		75	75		0
Stoutnail	18	0	1			1		7	5	spc	Spiked Club		5	5000	dgry			invspcu				hit-skill	56	5	6	dmg%		60	80	mana	0	25	25	str		25	25	dmg-max		9	9	lifesteal		6	12	res-pois		30	30	dmg-ltng		1	240	cast2		25	25	ltng-min		1	6	ltng-max		41	120	mana%		20	20		0
Crushflange	19	0	1			1		12	9	mac	Mace		5	5000	blac	blac						light		2	2	thorns		8	8	balance2		30	30	cast2		30	30	randclassskill		0	6	att%		15	25	dmg-fire		12	17	res-all	0	15	25	res-fire	0	31	50	dmg-max		11	14	move1		10	10	att-skill	53	8	5		0
Bloodrise	20	0	1			1		20	15	mst	Morning Star		5	5000	lblu			invmstu				ignore-ac		1	1	att%		60	120	swing1		10	10	hit-skill	Bone Spear	100	18	fire-min		8	8	fire-max		12	12	att		60	60	dur		100	100	dex		20	20	str		10	10	manasteal		6	8	dmg%		100	100		0
The Generals Tan Do Li Ga	21	0	1			1		28	21	fla	Flail		5	5000	dblu	dblu						hit-skill	Static Field	7	13	str		5	5	dmg%		195	195	oskill	36	5	5	dmg-min		1	1	ac		45	50	mana/lvl	10			res-fire		75	75	ac%		140	160	swing2		15	15	skilltab	16	1	1						0
Ironstone	22	0	1			1		36	27	whm	War Hammer		5	5000	cblu	cblu						fire-min		1	1	fire-max		2	6	str		25	25	manasteal		4	8	ac%		90	140	att-undead		25	50	dmg-max		4	6	mana%		15	15	res-fire-max		5	5	dmg%		50	60	res-cold		25	25						0
Bonesob	23	0	1			1		32	24	mau	Maul		5	5000	lred			invmauu				dmg%		50	60	res-fire		25	25	sor		3	3	dmg-cold	200	32	196	ac-miss		250	250	dur		20	20	allskills		1	1	res-all		50	50	noheal		1	1	manasteal		3	4	regen-mana		12	12	ass		3	3		0
Steeldriver	24	0	1			1		39	29	gma	Great Maul		5	5000	cgrn	cgrn		invgma				dmg%		50	50	res-cold		26	26	light-thorns		7	7	openwounds		33	33	allskills		1	1	dex		15	15	dmg-cold		1	200	res-ltng		50	50	swing2		40	40	res-pois		25	25	dmg-pois	50	125	175	res-all		30	30		0
Rixots Keen	25	0	1			1		3	2	ssd	Short Sword		5	5000	blac	blac						freeze		1	1	ac%		120	150	gethit-skill	53	5	5	att%		200	300	att/lvl	20			lifesteal		10	10	dmg-to-mana		7	12	att		10	20	dmg-undead		276	350	ease		-15	-15	ac		150	150	str		20	20		0
Blood Crescent	26	0	1			1		10	7	scm	Scimitar		5	5000	lblu			invscmu				dmg-ltng		1	40	att%		20	25	dmg%		200	250	oskill	61	1	1	dmg-mag		101	187	red-dmg%		10	15	res-pois		100	100	swing2		45	45	res-cold		40	40	ease		-30	-30	res-fire		16	20	dmg-min		2	2		0
Krintizs Skewer	27	0	1			1		14	10	sbr	Saber		5	5000	cblu			inv9sbu				ease		-50	-50	slow		20	20	dmg%		240	270	gethit-skill	Howl	3	1	oskill	Clay Golem	16	16	ac		25	25	swing3		40	40	res-ltng		15	20	res-all	0	15	25	pal		2	2	enr		1	3	mag%		65	65		0
Gleamscythe	28	0	1			1		18	13	flc	Falchion		5	5000	lred			invflcu				dmg-cold	3	24	38	swing2		20	20	mag%		5	15	ltng-min		1	1	ltng-max		16	16	skilltab	2	2	2	move2		20	20	allskills		1	1	fire-min		10	12	fire-max		15	25	oskill	118	3	3	ac%		150	180		0
Azurewrath	29	0	0			1		18	13	crs	Crystal Sword		5	5000	lgry			invcrsu				att%		50	50	red-mag		14	18	att		21	40	ltng-min		1	1	ltng-max		17	40	crush		30	30	manasteal		3	4	res-pois-max		15	15	res-cold	0	11	20	death-skill	Chain Lightning	100	44	oskill	58	3	3						0
Griswolds Edge	30	0	1			1		23	17	bsd	Broad Sword		5	5000	cred			invbsdu				openwounds		40	40	dmg-norm		25	50	ac%		160	220	att%		40	40	lifesteal		7	9	skilltab	7	1	3	oskill	Battle Cry	1	4	enr		10	10	dmg/lvl	4			pal		1	1	hp		9	20	res-pois-len		25	25		0
Hellplague	31	0	1			1		30	22	lsd	Long Sword		5	5000	dred			invlsdu				red-mag		2	2	dur		60	60	res-all		30	30	lifesteal		10	15	dmg%		210	260	skilltab	10	1	2	balance2		20	20	str		20	20	abs-mag		9	11	hit-skill	Venom	25	15	thorns	0	16	16	dex		15	15		0
Culwens Point	32	0	1			1		39	29	wsd	War Sword		5	5000	whit	whit						res-all		8	8	ltng-min		1	1	ltng-max		121	180	swing2		25	25	oskill	Warmth	1	1	dmg-pois	75	18	18	dmg%		50	50	att-undead		326	450	sock		1	3	ac-miss		250	300	move2		10	10	ac%		21	30		0
Shadowfang	33	0	1			1		16	12	2hs	2-Handed Sword		5	5000	cgrn			inv2hsu				mana-kill		5	5	oskill	69	3	3	swing3		30	30	half-freeze		1	1	dmg-norm		5	10	dmg%		330	375	dmg-max		1	3	pal	0	2	2	ac%		160	200	ltng-min		1	1	ltng-max		121	180	ac		50	50		0
Soulflay	34	0	1			1		26	19	clm	Claymore		5	5000	dgrn	dgrn						allskills		1	1	block		55	55	gold%		100	100	pois-min	0	82	82	pois-max	0	82	82	pois-len	0	125	125	ac%		100	100	gethit-skill	48	5	7	pal		1	2	dur		10	10	att	0	60	60	res-fire		5	15		0
Kinemils Awl	35	0	1			1		31	23	gis	Giant Sword		5	5000	dblu			invgisu				res-fire		25	25	ac%		80	130	cold-min		5	7	cold-max		9	14	indestruct		1	1	dex		15	20	block		25	25	enr		20	20	oskill	110	3	5	mana		21	22	att	0	60	60	mana-kill		2	4		0
Blacktongue	36	0	1			1		35	26	bsw	Bastard Sword		5	5000	lgrn			invbswu				ac%		60	100	pal		1	1	dmg%		5	5	dex		10	10	slow		20	20	mana%		10	10	levelup-skill	Frost Nova	100	43	res-pois		-90	-70	balance2		20	20	regen-mana	0	12	12	lifesteal	0	8	8	manasteal		14	14		0
Ripsaw	37	0	1			1		35	26	flb	Flamberge		5	5000	cblu	cblu						bar		3	3	gold%		11	22	enr		11	15	ignore-ac		1	1	res-pois		20	20	ltng-min		1	1	ltng-max		12	15	dmg-fire		20	240	skilltab	11	2	2	str		20	20	ac%		275	325	swing2		40	40		0
The Patriarch	38	0	1			1		39	29	gsd	Great Sword		5	5000	cred			invgsdu				fire-min		4	7	fire-max		8	19	ac		25	25	att/lvl	16			thorns		2	6	res-cold		60	60	manasteal		4	7	att		20	20	extra-fire		3	5	dur		15	15	abs-mag		3	8	dmg-ltng		1	200		0
Gull	39	0	1			1		6	4	dgr	Dagger		5	5000	lgry	lgry						lifesteal		8	10	swing2		60	60	att-undead		250	350	dmg%		150	200	dex		10	10	cold-min		5	7	cold-max		9	14	death-skill	Meteor	100	45	light		5	5	stam		40	50	mana		36	36	abs-cold%		7	15		0
The Diggler	40	0	1			1		15	11	dir	Dirk		5	5000	dgry	dgry						ac		25	25	res-cold		21	30	swing2		25	25	res-fire		5	15	hp		80	80	oskill	150	2	2	cold-min		10	15	cold-max		31	45	lifesteal		3	6	str		6	6	att-skill	53	5	0	ac%		160	200		0
The Jade Tan Do	41	0	1			1		26	19	kri	Kris		5	5000	oran			invkrsu				hp		15	15	thorns		5	10	pal		2	2	ease		-20	-20	skilltab	14	1	3	lifesteal		11	15	move3		30	30	res-ltng	0	31	50	dmg%		101	150	res-cold		5	10	res-all		50	50	att		75	75		0
Irices Shard	42	0	1			1		34	25	bld	Blade		5	5000	dblu	dblu						deadly		50	50	hp		40	40	light		-3	-3	str		20	20	slow		20	20	mana%		5	5	dmg%		350	400	ac%		50	50	mana		31	40	dmg/lvl	6			enr		4	6	oskill	245	2	2		0
The Dragon Chang	43	0	1			1		11	8	spr	Spear		5	5000	dpur	dpur						att-undead		100	100	allskills		2	2	att%		20	20	dmg-ltng		1	120	oskill	127	2	4	dmg-ac		-50	-50	res-all		13	13	crush		25	25	deadly		50	50	dmg%		100	100	fire-min		1	4	fire-max		6	11		0
Razortine	44	0	1			1		16	12	tri	Trident		5	5000	oran			invtriu				oskill	80	2	2	fireskill		3	3	gethit-skill	Confuse	10	15	mana-kill		6	6	skilltab	20	1	1	light		-2	-2	crush		33	33	deadly		25	25	ac%		41	50	swing2		20	20										0
Bloodthief	45	0	1			1		23	17	brn	Brandistock		5	5000	whit	whit						mana		-5	-5	dmg%		50	70	thorns		15	15	swing2		30	30	regen		30	30	att		73	87	res-all		8	11	mana-kill		1	3	dmg-pois	75	35	35	str		1	4	move1		10	10	lifesteal		20	20		0
Lance of Yaggai	46	0	1			1		30	22	spt	Spetum		5	5000	lred	lred						dmg-max		20	20	dmg%		150	150	res-cold-max		15	15	heal-kill		10	14	levelup-skill	Blaze	100	36	regen-stam		32	32	stam		25	36	att		6	12	mag%		11	15	res-ltng		11	12	skilltab	7	3	3	dmg-min		6	9		0
The Tannr Gorerod	47	0	1			1		36	27	pik	Pike		5	5000	lgry	lgry						noheal		1	1	gold%		100	100	dur		80	100	ac		12	12	thorns		8	8	sock	2			res-fire-max		10	10	gethit-skill	Blaze	5	15	mana		14	20	res-pois		8	10	oskill	24	5	5	res-all		50	50		0
Dimoaks Hew	48	0	1			1		11	8	bar	Bardiche		5	5000	blac	blac						oskill	118	3	3	regen-mana		43	43	ac%		150	190	red-dmg		11	16	hit-skill	Tornado	20	18	balance3		60	60	nofreeze		1	1	hp		20	20	dex		10	10	ac		150	225	res-ltng		31	31	dmg%	0	41	50		0
Steelgoad	49	0	1			1		19	14	vou	Voulge		5	5000	cgrn	cgrn						res-pois		20	20	dmg-norm		25	50	res-cold		20	40	dmg%		270	320	dmg/lvl	12			indestruct		1	1	dex	0	4	4	stam		8	16	oskill	8	6	6	res-fire		25	25	half-freeze	0	1	1	lifesteal		20	20		0
Soul Harvest	50	0	1			1		26	19	scy	Scythe		5	5000	dgry			invscyu				dmg-cold	150	10	30	gold%		100	100	ac		30	30	att		150	200	att-undead		100	200	dex/lvl	4			regen-mana		10	15	dmg-elem		55	160	dmg-max		10	10	block		25	25	res-ltng		15	20	red-dmg		1	1		0
The Battlebranch	51	0	1			1		34	25	pax	Poleaxe		5	5000	lblu	lblu						dmg-pois	75	75	75	red-mag		1	1	att		6	12	dmg-ac		-100	-100	lifesteal	0	8	8	crush		33	33	balance2		20	20	stupidity		33	33	oskill	19	5	5	cold-min		1	1	cold-max		1	2	cold-len		50	50		0
Woestave	52	0	1			1		38	28	hal	Halberd		5	5000	dblu	dblu						ac%		150	190	ltng-min		1	1	ltng-max		11	18	gethit-skill	38	14	5	res-fire		25	40	mana		40	40	manasteal		3	3	oskill	96	3	3	att		4	8	slow		50	50	lifesteal		8	8	res-ltng	0	25	25		0
The Grim Reaper	53	0	1			1		39	29	wsc	War Scythe		5	5000	lpur	lpur						mana-kill		2	2	dmg-pois	175	312	312	oskill	142	4	4	enr		20	20	ac/lvl	16			str		5	5	cold-min		1	1	cold-max		1	2	cold-len		50	50	res-pois		50	50	dmg-undead		201	275	res-ltng		60	60		0
Bane Ash	54	0	1			1		7	5	sst	Short Staff		5	5000	lgrn	lgrn						freeze		2	2	dmg%		140	180	ac%		150	180	gethit-skill	56	2	0	oskill	Spirit of Barbs	33	13	fireskill		3	3	vit		10	10	hp		50	50	gold%		50	50	regen-stam		50	50	res-cold		21	30	skilltab	6	1	1		0
Serpent Lord	55	0	1			1		12	9	lst	Long Staff		5	5000	cgrn	cgrn						oskill	103	3	3	ease		-10	-10	thorns		3	3	pal		2	2	swing2		10	10	abs-ltng		20	20	pierce-fire		7	15	dmg%		50	50	hit-skill	Taunt	10	1	att	0	61	80	light	0	2	2	hp		41	60		0
Lazarus Spire	56	0	1			1		24	18	cst	Gnarled Staff		5	5000	lgry			invcstu				manasteal		5	5	ease		-10	-10	oskill	62	36	6	dmg%/lvl	24			ac%		90	120	dmg-undead		280	280	gethit-skill	Weaken	24	10	dmg%		220	320	str		20	20	lifesteal	0	2	2	att		61	80	ama		2	2		0
The Salamander	57	0	1			1		28	21	bst	Battle Staff		5	5000	dred	dred						light		2	2	dmg%		270	320	regen		5	5	bar	0	2	2	skilltab	10	2	2	pal		2	2	slow	0	35	35	cold-min		1	1	cold-max		3	5	cold-len		50	50	fire-min		1	1	fire-max		2	2		0
The Iron Jang Bong	58	0	1			1		38	28	wst	War Staff		5	5000	dyel	dyel						lifesteal		5	5	str		10	10	att-undead		100	100	cast2		10	10	oskill	118	2	2	ac%		80	130	extra-fire		10	20	balance3		20	30	red-mag		3	3	light		4	4	res-fire		15	20	res-all	0	10	10		0
Pluckeye	59	0	1			1		10	7	sbw	Short Bow		5	5000	cblu	cblu						oskill	Teeth	4	5	res-pois		-90	-70	balance2		50	50	ltng-min		1	1	ltng-max		17	40	res-all		8	11	stam		9	16	dmg-demon		151	200	red-dmg		3	3	light		4	4	dex	0	6	6	allskills		1	1		0
Witherstring	60	0	1			1		18	13	hbw	Hunter\92s Bow		5	5000	lred	lred						att		45	45	ac		10	10	res-fire		5	5	regen-mana		16	16	str		15	15	hit-skill	Poison Nova	25	15	block		30	30	swing3		40	40	dmg-demon		10	25	skilltab	18	3	3	gold%		31	40	ass		3	3		0
Rimeraven	61	0	1			1		20	15	lbw	Long Bow		5	5000	dred	dred						att%		100	100	oskill	62	36	6	dmg%		60	120	dmg-pois	150	426	426	gold%		40	70	dmg-cold	100	176	397	abs-cold		6	11	gethit-skill	Fade	5	8	dex	0	8	8	dmg-max		2	2	regen		5	5	fade		1	1		0
Piercerib	62	0	1			1		27	20	cbw	Composite Bow		5	5000	cred			invcbwu				dmg-fire		5	9	oskill	66	1	3	dmg%		180	220	str		30	30	lifesteal		3	5	light		3	3	res-all		5	20	dmg-elem		50	200	att-skill	Charged Bolt	20	20	aura	Concentration	8	12	red-mag		3	3	red-dmg		3	3		0
Pullspite	63	0	1			1		34	25	sbb	Short Battle Bow		5	5000	lgrn			invsbbu				att		50	50	thorns		2	2	oskill	48	80	15	swing2		30	30	str		10	15	dmg-undead		250	250	ac		400	400	res-ltng	0	16	16	dmg%		21	30	skilltab	6	2	2	manasteal		3	3	regen-mana		15	15		0
Wizendraw	64	0	1			1		35	26	lbb	Long Battle Bow		5	5000	dgrn	dgrn						dmg-undead		100	100	mana/lvl	10			skilltab	13	3	3	ease		-20	-20	res-all		30	40	gethit-skill	Poison Nova	10	10	dmg%		150	190	noheal		1	1	res-cold		25	25	swing2		20	20	str		21	30	slow	0	35	35		0
Hellclap	65	0	1			1		36	27	swb	Short War Bow		5	5000	cgrn			invswbu				enr		5	5	regen-mana		43	43	reduce-ac		50	50	lifesteal		5	9	dmg%		300	385	dmg/lvl	10			swing3		30	30	att		75	75	sor		1	1	nofreeze		1	1	block		20	20	str		11	15		0
Blastbark	66	0	1			1		38	28	lwb	Long War Bow		5	5000	lyel	lyel						dmg%		40	50	res-cold		50	50	allskills		1	1	nec		2	2	mag%	0	9	9	dex		15	25	oskill	74	1	3	cast3		50	50	swing1		10	10	ltng-min		1	1	ltng-max		32	32	crush		40	40		0
Leadcrow	67	0	1			1		12	9	lxb	Light Crossbow		5	5000	dyel			invlxbu				mana		15	15	fire-min		3	5	fire-max		6	11	att	0	80	80	balance2		50	50	dmg-pois	75	21	21	str/lvl	3			gold%		100	100	hp/lvl		8	12	light		5	5	dmg-cold	75	3	14	res-cold		20	20		0
Ichorsting	68	0	1			1		24	18	mxb	Crossbow		5	5000	lgld			invmxbu				att		30	30	gethit-skill	93	5	10	ac		100	100	sock		1	2	stam		100	120	oskill	Heart of Wolverine	20	16	att-skill	Frozen Orb	16	21	dmg-max		1	3	res-all		12	15	openwounds	0	20	20	mana		50	50	regen		30	30		0
Hellcast	69	0	1			1		36	27	hxb	Heavy Crossbow		5	5000	dgld			invhxbu				dmg-pois	250	256	256	move2		20	20	ethereal		1	1	dmg-fire		232	323	fire-min		4	9	fire-max		13	27	lifesteal		3	5	ac%		100	100	enr		20	20	mana%		5	5	res-ltng		26	30	dmg%		150	170		0
Doomspittle	70	0	1			1		38	28	rxb	Repeating Crossbow		5	5000	lpur			invrxbu				light		8	8	block		7	7	manasteal		8	8	ltng-min		1	1	ltng-max		22	33	att		88	102	ac%		140	200	res-cold		40	40	gethit-skill	42	25	5	lifesteal		8	8	extra-ltng		10	15	mag%		25	25		0
War Bonnet	71	0	1			1		4	3	cap	Cap		5	5000	dpur			invcapu				freeze		1	1	red-dmg%		10	10	dur		103	103	lifesteal		8	8	dmg-demon		100	100	pierce-fire		28	28	res-all		50	50	hit-skill	Venom	25	15	mana		50	50	att	0	101	120	bar		2	2	oskill	64	1	1		0
Tarnhelm	72	0	1			1		20	15	skp	Skull Cap		5	5000	oran	oran						res-fire		40	40	dmg-fire		35	95	att%		200	200	ac%		190	220	noheal		1	1	crush		40	40	reanimate	1	10	10	res-pois		50	50	ignore-ac		1	1	bar	0	2	2	oskill	49	4	4	hp		35	35		0
Coif of Glory	73	0	1			1		19	14	hlm	Helm		5	5000	whit			invhlmu				res-ltng		40	40	lifesteal		5	5	red-mag		1	1	ignore-ac		1	1	manasteal		15	15	dmg-cold	75	13	21	move2		45	45	oskill	147	5	5	fireskill		1	1	half-freeze		1	1	mag%	0	10	15	dmg-min		9	14		0
Duskdeep	74	0	1			1		23	17	fhl	Full Helm		5	5000	lgry			invfhlu				swing2		15	15	noheal		1	1	dmg-fire		3	6	hp/lvl	10			gethit-skill	88	10	2	cast2		20	20	balance3		40	40	allskills		1	2	dex		20	20	str		15	15	lifesteal		7	8	oskill	111	6	6		0
Wormskull	75	0	1			1		28	21	bhm	Bone Helm		5	5000	lgrn			invbhmu				sor		1	1	nec		3	3	move2		15	15	reanimate	1	10	10	skilltab	0	2	4	cast2		10	10	ignore-ac		1	1	red-mag		7	7	red-dmg		2	2	lifesteal		3	3	oskill	12	8	8	allskills		1	1		0
Howltusk	76	0	1			1		34	25	ghm	Great Helm		5	5000	dgry	dgry						dmg-undead		50	50	noheal		1	1	dur		50	50	res-all		10	20	str		8	8	dex		15	15	dmg-norm		25	50	levelup-skill	Frost Nova	100	43	swing2		15	15	res-ltng		30	30	dmg-to-mana		15	15	att		50	50		0
Undead Crown	77	0	1			1		39	29	crn	Crown		5	5000	blac	blac						str		12	12	dmg%		50	60	swing3		30	30	move2		20	20	slow		20	20	res-pois		75	75	oskill	34	3	3	regen-mana		33	33	balance2		10	10	extra-cold		8	15	stam		180	180	pal	0	2	2		0
The Face of Horror	78	0	1			1		27	20	msk	Mask		5	5000	lblu	lblu						att		121	150	thorns		20	20	regen-mana		15	30	skilltab	17	3	3	regen-stam		25	25	cold-min		2	2	cold-max		3	4	cold-len		25	25	ac%		150	200	stam		100	120	oskill	55	3	3	lifesteal		5	7		0
Greyform	79	0	1			1		10	7	qui	Quilted Armor		5	5000	lgry	lgry						crush		30	30	mana		35	35	dmg%		200	250	hit-skill	Frozen Orb	15	13	thorns		2	2	lifesteal		10	10	ac		50	50	dmg-ltng		5	25	att	0	81	100	res-pois		11	12	red-dmg		1	1	enr		7	10		0
Blinkbats Form	80	0	1			1		16	12	lea	Leather Armor		5	5000	dred	dred						dmg-max		15	15	att		50	50	dmg-fire		50	200	res-all		40	40	red-dmg%		10	10	allskills		1	2	hit-skill	72	8	3	dmg-demon		50	100	regen-mana		15	30	dex		10	10	mag%		30	30	skilltab	5	2	2		0
The Centurion	81	0	1			1		19	14	hla	Hard Leather		5	5000	cred	cred						dmg%		80	120	att		60	60	deadly		30	30	light		3	3	openwounds		33	33	skilltab	20	1	2	balance2		20	20	gethit-skill	Lower Resist	10	7	hit-skill	Decrepify	30	1	swing2		20	20	res-all		3	7	dmg-max		11	12		0
Twitchthroe	82	0	1			1		22	16	stu	Studded Leather		5	5000	lgrn	lgrn						oskill	121	1	1	noheal		1	1	allskills		2	2	dmg-norm		25	50	dmg%		190	240	att		66	66	move2		20	20	ac		15	15	red-dmg		7	7	res-fire		3	5	regen		3	3	mag%/lvl	12				0
Darkglow	83	0	1			1		19	14	rng	Ring Mail		5	5000	dgrn	dgrn						res-all	0	11	11	skilltab	6	1	1	regen		6	10	res-cold		25	25	cold-min		6	9	cold-max		19	30	red-mag		9	12	enr		7	9	dmg-elem		55	160	dmg%		230	280	dex		10	10	fireskill		3	3		0
Hawkmail	84	0	1			1		20	15	scl	Scale Mail		5	5000	cgrn	cgrn						mag%		65	65	skilltab	13	2	2	nec		2	2	hp%		5	5	dex		15	15	att-undead		175	250	hp		11	15	fire-min	0	15	15	fire-max	0	20	20	thorns		7	9	lifesteal		4	5	red-dmg%		24	24		0
Sparking Mail	85	0	1			1		23	17	chn	Chain Mail		5	5000	lyel	lyel						res-fire		20	20	ac%		100	100	skilltab	0	3	3	manasteal		5	5	abs-cold		15	15	oskill	Whirlwind	1	1	hp		100	150	att	0	60	60	dmg%		66	80	sock	4			dmg-max		6	7	res-pois-len	0	75	75		0
Venomsward	86	0	1			1		27	20	brs	Breast Plate		5	5000	dyel	dyel						ac		12	12	att-und/lvl	10			red-mag		10	15	half-freeze		1	1	enr		12	12	red-dmg		3	3	res-fire	0	22	22	lifesteal	0	2	2	att		301	450	dmg-pois	50	31	31	sor		3	3	ac-miss		50	50		0
