Name	*StringName	Id	Pal	Act	QuestFlag	QuestFlagEx	Layer	SizeX	SizeY	SizeX(N)	SizeY(N)	SizeX(H)	SizeY(H)	OffsetX	OffsetY	Depend	Teleport	Rain	Mud	NoPer	LOSDraw	FloorFilter	BlankScreen	DrawEdges	*IsInside	DrlgType	LevelType	SubType	SubTheme	SubWaypoint	SubShrine	Vis0	Vis1	Vis2	Vis3	Vis4	Vis5	Vis6	Vis7	Warp0	Warp1	Warp2	Warp3	Warp4	Warp5	Warp6	Warp7	Intensity	Red	Green	Blue	Portal	Position	SaveMonsters	Quest	WarpDist	MonLvl	MonLvl(N)	MonLvl(H)	MonLvlEx	MonLvlEx(N)	MonLvlEx(H)	MonDen	MonDen(N)	MonDen(H)	MonUMin	MonUMax	MonUMin(N)	MonUMax(N)	MonUMin(H)	MonUMax(H)	MonWndr	MonSpcWalk	NumMon	mon1	mon2	mon3	mon4	mon5	mon6	mon7	mon8	mon9	mon10	mon11	mon12	mon13	mon14	mon15	mon16	mon17	mon18	mon19	mon20	mon21	mon22	mon23	mon24	mon25	rangedspawn	nmon1	nmon2	nmon3	nmon4	nmon5	nmon6	nmon7	nmon8	nmon9	nmon10	nmon11	nmon12	nmon13	nmon14	nmon15	nmon16	nmon17	nmon18	nmon19	nmon20	nmon21	nmon22	nmon23	nmon24	nmon25	umon1	umon2	umon3	umon4	umon5	umon6	umon7	umon8	umon9	umon10	umon11	umon12	umon13	umon14	umon15	umon16	umon17	umon18	umon19	umon20	umon21	umon22	umon23	umon24	umon25	cmon1	cmon2	cmon3	cmon4	cpct1	cpct2	cpct3	cpct4	camt1	camt2	camt3	camt4	Themes	SoundEnv	Waypoint	LevelName	LevelWarp	LevelEntry	ObjGrp0	ObjGrp1	ObjGrp2	ObjGrp3	ObjGrp4	ObjGrp5	ObjGrp6	ObjGrp7	ObjPrb0	ObjPrb1	ObjPrb2	ObjPrb3	ObjPrb4	ObjPrb5	ObjPrb6	ObjPrb7	LevelGroup
Act 1 - Cave 3	Underground Passage Level 1	10	0	0			3	200	200	200	200	200	200	1500	1600	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	4	5	0	0	14	0	0	0	4	4	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	4	44	78	600	600	600	6	8	6	8	6	8	1	0	3	baboon1_2	bighead3	bonefetish7_1	brute2	clawviper4_2	doomknight1_2	fetish3_2	fetishshaman7_4	frogdemon1_1	goatman1	cowking_2	imp1_4	overseer6_5	pantherwoman5_5	putriddefiler3_2	regurgitator4_1	sandmaggot7_6	skmage_pois4_1	slinger2_4	slinger5_2	snowyeti2_2	succubuswitch4_1	unraveler3_2	vampire8_1	vulture3_1		baboon1_2	bighead3	bonefetish7_1	brute2	clawviper4_2	doomknight1_2	fetish3_2	fetishshaman7_4	frogdemon1_1	goatman1	cowking_2	imp1_4	overseer6_5	pantherwoman5_5	putriddefiler3_2	regurgitator4_1	sandmaggot7_6	skmage_pois4_1	slinger2_4	slinger5_2	snowyeti2_2	succubuswitch4_1	unraveler3_2	vampire8_1	vulture3_1	baboon1_2	bighead3	bonefetish7_1	brute2	clawviper4_2	doomknight1_2	fetish3_2	fetishshaman7_4	frogdemon1_1	goatman1	cowking_2	imp1_4	overseer6_5	pantherwoman5_5	putriddefiler3_2	regurgitator4_1	sandmaggot7_6	skmage_pois4_1	slinger2_4	slinger5_2	snowyeti2_2	succubuswitch4_1	unraveler3_2	vampire8_1	vulture3_1	rat	bat			30	30							0	4	255	Underground Passage Level 1	To Underground Passage Level 1	EnteringUndergroundPassageLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	Act 1 - Underground Passage
Act 1 - Cave 4	Hole Level 1	11	0	0			4	200	200	200	200	200	200	1500	1900	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	6	0	0	0	15	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	5	30	55	5	45	89	600	600	600	6	8	6	8	6	8	1	0	3	arach1_2	batdemon3_2	cantor1_5	corruptrogue2	cr_archer3	crownest1	doomknight1_2	fetishshaman7_4	foulcrow2	imp1_4	overseer6_5	regurgitator4_5	sandmaggot7_6	scarab8_4	sk_archer1	skeleton2	skmage_fire1_4	snowyeti2_2	succubus5_4	thornhulk2_4	unraveler3_2	vulture3_5	willowisp4_2	wraith1	zombie2		arach1_2	batdemon3_2	cantor1_5	corruptrogue2	cr_archer3	crownest1	doomknight1_2	fetishshaman7_4	foulcrow2	imp1_4	overseer6_5	regurgitator4_5	sandmaggot7_6	scarab8_4	sk_archer1	skeleton2	skmage_fire1_4	snowyeti2_2	succubus5_4	thornhulk2_4	unraveler3_2	vulture3_5	willowisp4_2	wraith1	zombie2	arach1_2	batdemon3_2	cantor1_5	corruptrogue2	cr_archer3	doomknight1_2	fetishshaman7_4	foulcrow2	imp1_4	overseer6_5	regurgitator4_5	sandmaggot7_6	scarab8_4	sk_archer1	skeleton2	skmage_fire1_4	snowyeti2_2	succubus5_4	thornhulk2_4	unraveler3_2	vulture3_5	willowisp4_2	wraith1	zombie2		rat	bat			30	30							0	4	255	Hole Level 1	To The Hole Level 1	EnteringTheHoleLevel1	6	4	0	0	0	0	0	0	30	3	0	0	0	0	0	0	Act 1 - Hole
Act 1 - Cave 5	Pit Level 1	12	0	0			5	200	200	200	200	200	200	1500	2200	0	1	0	0	0	1	1	1	0	1	1	3	-1	-1	-1	-1	7	0	0	0	16	0	0	0	4	-1	-1	-1	5	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	46	94	600	600	600	6	8	6	8	6	8	1	0	3	bloodlord3_8	blunderbore3_7	clawviper4_6	corruptrogue3	cr_archer6	doomknight2_5	dkmag2_6	fallenshaman2	fetish1	fetishblow1	frogdemon2_8	imp1_4	putriddefiler4_8	regurgitator4_5	skeleton2	skmage_fire6	skmage_ltng6	slinger2_4	slinger5_8	succubuswitch9_7	suicideminion11_5	unraveler4_6	vampire6_7	vulture3_5	zealot3_8		bloodlord3_8	blunderbore3_7	clawviper4_6	corruptrogue3	cr_archer6	doomknight2_5	dkmag2_6	fallenshaman2	fetish1	fetishblow1	frogdemon2_8	imp1_4	putriddefiler4_8	regurgitator4_5	skeleton2	skmage_fire6	skmage_ltng6	slinger2_4	slinger5_8	succubuswitch9_7	suicideminion11_5	unraveler4_6	vampire6_7	vulture3_5	zealot3_8	bloodlord3_8	blunderbore3_7	clawviper4_6	corruptrogue3	cr_archer6	doomknight2_5	dkmag2_6	fallenshaman2	fetish1	fetishblow1	frogdemon2_8	imp1_4	putriddefiler4_8	regurgitator4_5	skeleton2	skmage_fire6	skmage_ltng6	slinger2_4	slinger5_8	succubuswitch9_7	unraveler4_6	vampire6_7	vulture3_5	zealot3_8		rat	bat			30	30							0	4	255	Pit Level 1	To The Pit Level 1	EnteringThePitLevel1	6	4	0	0	0	0	0	0	30	6	0	0	0	0	0	0	Act 1 - Pit
Act 1 - Cave 2 Treasure	Cave Level 2	13	0	0			6	24	24	24	24	24	24	1500	2500	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	9	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	2	27	52	2	44	87	600	600	600	2	3	2	3	2	3	1	0	3	arach1_2	baboon1_2	bighead4_1	bloodlord4_2	brute2	cantor1_5	clawviper4_2	cr_archer8	deathmauler2_2	doomknight2_5	fallenshaman1	fetishshaman7_4	fingermage4_4	imp1_4	megademon5_1	putriddefiler3_2	reanimatedhorde6_5	regurgitator4_1	siegebeast2_4	skmage_cold2_2	snowyeti2_2	suicideminion11_5	swarm2_1	unraveler3_2	zombie1		arach1_2	baboon1_2	bighead4_1	bloodlord4_2	brute2	cantor1_5	clawviper4_2	cr_archer8	deathmauler2_2	doomknight2_5	fallenshaman1	fetishshaman7_4	fingermage4_4	imp1_4	megademon5_1	putriddefiler3_2	reanimatedhorde6_5	regurgitator4_1	siegebeast2_4	skmage_cold2_2	snowyeti2_2	suicideminion11_5	swarm2_1	unraveler3_2	zombie1	arach1_2	baboon1_2	bighead4_1	bloodlord4_2	brute2	cantor1_5	clawviper4_2	cr_archer8	deathmauler2_2	doomknight2_5	fallenshaman1	fetishshaman7_4	fingermage4_4	imp1_4	megademon5_1	putriddefiler3_2	reanimatedhorde6_5	regurgitator4_1	skmage_cold2_2	snowyeti2_2	swarm2_1	unraveler3_2	zombie1			rat	bat			30	30							0	4	255	Cave Level 2	To The Cave Level 2	EnteringTheCaveLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Cave
Act 1 - Cave 3 Treasure	Underground Passage Level 2	14	0	0			7	24	24	24	24	24	24	1500	2624	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	10	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	4	29	54	4	45	94	600	600	600	3	5	3	5	3	5	1	0	3	baboon6_5	bloodlord4_2	cantor1_5	dkmag1_2	fallen1	fingermage4_4	frogdemon1_1	goatman1	cowking_2	minion6_1	mosquito1_1	mummy3_6	overseer6_5	regurgitator4_1	sandleaper4_4	sandraider1_1	sk_archer1	snowyeti2_2	succubus5_4	suicideminion11_5	swarm3_6	unraveler3_2	vampire8_1	vilemother1_4	wraith1		baboon6_5	bloodlord4_2	cantor1_5	dkmag1_2	fallen1	fingermage4_4	frogdemon1_1	goatman1	cowking_2	minion6_1	mosquito1_1	mummy3_6	overseer6_5	regurgitator4_1	sandleaper4_4	sandraider1_1	sk_archer1	snowyeti2_2	succubus5_4	suicideminion11_5	swarm3_6	unraveler3_2	vampire8_1	vilemother1_4	wraith1	bloodlord4_2	cantor1_5	dkmag1_2	fallen1	fingermage4_4	frogdemon1_1	goatman1	cowking_2	minion6_1	mosquito1_1	mummy3_6	overseer6_5	regurgitator4_1	sandleaper4_4	sandraider1_1	sk_archer1	snowyeti2_2	succubus5_4	swarm3_6	unraveler3_2	vampire8_1	vilemother1_4	wraith1			rat	bat			30	30							0	4	255	Underground Passage Level 2	To Underground Passage Level 2	EnteringUndergroundPassageLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Underground Passage
Act 1 - Cave 4 Treasure	Hole Level 2	15	0	0			8	24	24	24	24	24	24	1500	2748	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	11	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	3800	5	30	55	5	46	90	600	600	600	2	3	2	3	2	3	1	0	3	bonefetish4_5	brute2	cr_archer2	cr_lancer8	crownest2	deathmauler5_6	dkmag1_2	fallenshaman1	fetish3_2	foulcrow2	imp1_4	mummy2_2	pantherwoman5_5	putriddefiler3_2	reanimatedhorde6_5	sandleaper4_4	skeleton1	slinger2_4	slinger5_8	suicideminion11_5	thornhulk2_4	vampire6_7	vulture3_5	zealot3_8	zombie2		bonefetish4_5	brute2	cr_archer2	cr_lancer8	crownest2	deathmauler5_6	dkmag1_2	fallenshaman1	fetish3_2	foulcrow2	imp1_4	mummy2_2	pantherwoman5_5	putriddefiler3_2	reanimatedhorde6_5	sandleaper4_4	skeleton1	slinger2_4	slinger5_8	suicideminion11_5	thornhulk2_4	vampire6_7	vulture3_5	zealot3_8	zombie2	bonefetish4_5	brute2	cr_archer2	cr_lancer8	deathmauler5_6	dkmag1_2	fallenshaman1	fetish3_2	foulcrow2	imp1_4	mummy2_2	pantherwoman5_5	putriddefiler3_2	reanimatedhorde6_5	sandleaper4_4	skeleton1	slinger2_4	slinger5_8	thornhulk2_4	vampire6_7	vulture3_5	zealot3_8	zombie2			rat	bat			30	30							0	4	255	Hole Level 2	To The Hole Level 2	EnteringTheHoleLevel2	6	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Hole
Act 1 - Cave 5 Treasure	Pit Level 2	16	0	0			9	24	24	24	24	24	24	1500	2872	0	1	0	0	0	1	1	1	0	1	2	3	-1	-1	-1	-1	0	12	0	0	0	0	0	0	-1	4	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	47	94	600	600	600	2	3	2	3	2	3	1	0	3	arach4_7	bighead3	bonefetish1	brute3	clawviper4_6	doomknight2_5	fallenshaman2	foulcrow1	goatman2	megademon2_7	mummy3_6	pantherwoman5_5	quillrat4	sandleaper4_4	scarab8_4	sk_archer1	skmage_fire1_4	skmage_pois1	slinger5_8	succubuswitch9_7	swarm3_6	vampire6_7	wraith2	zealot3_8	zombie4_6		arach4_7	bighead3	bonefetish1	brute3	clawviper4_6	doomknight2_5	fallenshaman2	foulcrow1	goatman2	megademon2_7	mummy3_6	pantherwoman5_5	quillrat4	sandleaper4_4	scarab8_4	sk_archer1	skmage_fire1_4	skmage_pois1	slinger5_8	succubuswitch9_7	swarm3_6	vampire6_7	wraith2	zealot3_8	zombie4_6	arach4_7	bighead3	bonefetish1	brute3	clawviper4_6	doomknight2_5	fallenshaman2	foulcrow1	goatman2	megademon2_7	mummy3_6	pantherwoman5_5	quillrat4	sandleaper4_4	scarab8_4	sk_archer1	skmage_fire1_4	skmage_pois1	slinger5_8	succubuswitch9_7	swarm3_6	vampire6_7	wraith2	zealot3_8	zombie4_6	rat	bat			30	30							0	4	255	Pit Level 2	To The Pit Level 2	EnteringThePitLevel2	6	4	0	0	0	0	0	0	25	6	0	0	0	0	0	0	Act 1 - Pit
Act 1 - Graveyard	Burial Grounds	17	0	0			0	40	48	40	48	40	48	-1	-1	0	1	1	0	0	0	1	1	1	0	3	2	-1	-1	-1	-1	18	19	0	0	0	0	0	0	6	7	-1	-1	-1	-1	-1	-1	0	0	0	0	0	0	1	0	2025	3	28	53	3	43	89	520	520	520							1	0	3	baboon1_2	bighead4_1	blunderbore5_1	cantor1_5	doomknight1_2	fetish3_2	fetishshaman7_4	fingermage4_4	frogdemon1_1	goatman1	cowking_2	megademon5_1	mummy2_2	overseer2_1	quillrat1	sandraider1_1	skeleton1	skmage_cold2_2	skmage_ltng4_1	slinger2_4	succubuswitch4_1	thornhulk2_4	unraveler3_2	vampire8_1	zombie1		baboon1_2	bighead4_1	blunderbore5_1	cantor1_5	doomknight1_2	fetish3_2	fetishshaman7_4	fingermage4_4	frogdemon1_1	goatman1	cowking_2	megademon5_1	mummy2_2	overseer2_1	quillrat1	sandraider1_1	skeleton1	skmage_cold2_2	skmage_ltng4_1	slinger2_4	succubuswitch4_1	thornhulk2_4	unraveler3_2	vampire8_1	zombie1	baboon1_2	bighead4_1	blunderbore5_1	cantor1_5	doomknight1_2	fetish3_2	fetishshaman7_4	fingermage4_4	frogdemon1_1	goatman1	cowking_2	megademon5_1	mummy2_2	overseer2_1	quillrat1	sandraider1_1	skeleton1	skmage_cold2_2	skmage_ltng4_1	slinger2_4	succubuswitch4_1	thornhulk2_4	unraveler3_2	vampire8_1	zombie1													0	2	255	Burial Grounds	To The Burial Grounds	EnteringTheBurialGrounds	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Act 1 - Burial Grounds
Act 1 - Crypt 1 A	Crypt	18	0	0			10	200	200	200	200	200	200	2000	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	53	3	44	92	1056	1056	1056	4	5	4	5	4	5	1	0	3	baboon6_5	batdemon5_6	bighead3	bloodlord4_2	corruptrogue1	cr_lancer7	doomknight1_2	fetishshaman7_4	fingermage4_4	imp1_4	minion6_1	mummy2_2	overseer6_5	pantherwoman5_5	skeleton2	skmage_cold2_2	skmage_fire1_4	skmage_pois4_1	slinger5_2	snowyeti2_2	succubus5_4	swarm2_1	unraveler3_2	willowisp4_2	zealot3_1		baboon6_5	batdemon5_6	bighead3	bloodlord4_2	corruptrogue1	cr_lancer7	doomknight1_2	fetishshaman7_4	fingermage4_4	imp1_4	minion6_1	mummy2_2	overseer6_5	pantherwoman5_5	skeleton2	skmage_cold2_2	skmage_fire1_4	skmage_pois4_1	slinger5_2	snowyeti2_2	succubus5_4	swarm2_1	unraveler3_2	willowisp4_2	zealot3_1	batdemon5_6	bighead3	bloodlord4_2	corruptrogue1	cr_lancer7	doomknight1_2	fetishshaman7_4	fingermage4_4	imp1_4	minion6_1	mummy2_2	overseer6_5	pantherwoman5_5	skeleton2	skmage_cold2_2	skmage_fire1_4	skmage_pois4_1	slinger5_2	snowyeti2_2	succubus5_4	swarm2_1	unraveler3_2	willowisp4_2	zealot3_1		rat	bat			30	30							8	5	255	Crypt	To The Crypt	EnteringTheCrypt	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	Act 1 - Crypt
Act 1 - Crypt 2 A	Mausoleum	19	0	0			11	200	200	200	200	200	200	2000	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	17	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	3	28	53	3	44	94	1056	1056	1056	4	5	4	5	4	5	1	0	3	baboon6_5	blunderbore5_1	bonefetish4_5	corruptrogue2	cr_archer1	cr_lancer1	crownest1	deathmauler2_2	doomknight2_5	dkmag2_6	fallen2	fallenshaman2	frozenhorror4_1	mosquito1_1	mummy3_6	regurgitator4_5	sandleaper4_4	skmage_ltng4_1	skmage_pois4_1	slinger2_4	slinger5_2	succubus5_4	succubuswitch4_1	suicideminion10_1	zombie4_6		baboon6_5	blunderbore5_1	bonefetish4_5	corruptrogue2	cr_archer1	cr_lancer1	crownest1	deathmauler2_2	doomknight2_5	dkmag2_6	fallen2	fallenshaman2	frozenhorror4_1	mosquito1_1	mummy3_6	regurgitator4_5	sandleaper4_4	skmage_ltng4_1	skmage_pois4_1	slinger2_4	slinger5_2	succubus5_4	succubuswitch4_1	suicideminion10_1	zombie4_6	blunderbore5_1	bonefetish4_5	corruptrogue2	cr_archer1	cr_lancer1	deathmauler2_2	doomknight2_5	dkmag2_6	fallen2	fallenshaman2	frozenhorror4_1	mosquito1_1	mummy3_6	regurgitator4_5	sandleaper4_4	skmage_ltng4_1	skmage_pois4_1	slinger2_4	slinger5_2	succubus5_4	succubuswitch4_1	zombie4_6				rat	bat			30	30							8	5	255	Mausoleum	To The Mausoleum	EnteringTheMausoleum	7	8	9	10	0	0	0	0	75	4	50	75	0	0	0	0	Act 1 - Mausoleum
Act 1 - Tower 2	Forgotten Tower	20	0	0			12	8	8	8	8	8	8	2000	1600	0	1	0	0	0	1	1	1	0	1	2	2	-1	-1	-1	-1	6	21	0	0	0	0	0	0	11	12	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57				0	0	0							1	0																																																																														rat	bat			30	30							0	5	255	Forgotten Tower	To The Forgotten Tower	EnteringTheForgottenTower	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Act 1 - Crypt 3 A	Tower Cellar Level 1	21	0	0			13	200	200	200	200	200	200	2500	1000	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	20	22	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57	7	45	84	1024	1024	1024	3	4	3	4	3	4	1	0	3	arach4_7	baboon3_7	bighead3	corruptrogue3	deathmauler5_6	doomknight2_5	fallen2	fetish1	fingermage4_4	foulcrow1	hellbovine_7	imp1_4	minion10_7	mosquito1_6	mummy3_6	overseer6_5	putriddefiler4_8	scarab8_4	sk_archer1	skeleton3	skmage_cold2	skmage_fire6	skmage_pois2	slinger5_8	succubuswitch9_7		arach4_7	baboon3_7	bighead3	corruptrogue3	deathmauler5_6	doomknight2_5	fallen2	fetish1	fingermage4_4	foulcrow1	hellbovine_7	imp1_4	minion10_7	mosquito1_6	mummy3_6	overseer6_5	putriddefiler4_8	scarab8_4	sk_archer1	skeleton3	skmage_cold2	skmage_fire6	skmage_pois2	slinger5_8	succubuswitch9_7	arach4_7	baboon3_7	bighead3	corruptrogue3	deathmauler5_6	doomknight2_5	fallen2	fetish1	fingermage4_4	foulcrow1	hellbovine_7	imp1_4	minion10_7	mosquito1_6	mummy3_6	overseer6_5	putriddefiler4_8	scarab8_4	sk_archer1	skeleton3	skmage_cold2	skmage_fire6	skmage_pois2	slinger5_8	succubuswitch9_7	rat	bat			30	30							8	5	255	Tower Cellar Level 1	To The Tower Cellar Level 1	EnteringTheTowerCellarLevel1	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Act 1 - Crypt 3 B	Tower Cellar Level 2	22	0	0			14	200	200	200	200	200	200	2500	1300	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	21	23	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	46	85	1024	1024	1024	3	4	3	4	3	4	1	0	3	arach4_7	baboon3_7	baboon6_5	blunderbore3_7	cantor1_5	corruptrogue2	cr_lancer2	crownest2	deathmauler5_6	fetish1	foulcrow2	frozenhorror4_8	imp1_4	pantherwoman5_5	quillrat4	reanimatedhorde6_5	regurgitator4_5	siegebeast2_4	skmage_fire7	slinger2_4	slinger5_8	succubuswitch9_7	vilemother1_4	wraith1	zombie4_6		arach4_7	baboon3_7	baboon6_5	blunderbore3_7	cantor1_5	corruptrogue2	cr_lancer2	crownest2	deathmauler5_6	fetish1	foulcrow2	frozenhorror4_8	imp1_4	pantherwoman5_5	quillrat4	reanimatedhorde6_5	regurgitator4_5	siegebeast2_4	skmage_fire7	slinger2_4	slinger5_8	succubuswitch9_7	vilemother1_4	wraith1	zombie4_6	arach4_7	baboon3_7	blunderbore3_7	cantor1_5	corruptrogue2	cr_lancer2	deathmauler5_6	fetish1	foulcrow2	frozenhorror4_8	imp1_4	pantherwoman5_5	quillrat4	reanimatedhorde6_5	regurgitator4_5	skmage_fire7	slinger2_4	slinger5_8	succubuswitch9_7	vilemother1_4	wraith1	zombie4_6				rat	bat			30	30							8	5	255	Tower Cellar Level 2	To The Tower Cellar Level 2	EnteringTheTowerCellarLevel2	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Act 1 - Crypt 3 C	Tower Cellar Level 3	23	0	0			15	200	200	200	200	200	200	2500	1600	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	22	24	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57	7	47	86	1024	1024	1024	3	4	3	4	3	4	1	0	3	baboon3_7	batdemon5_6	bonefetish4_5	cantor1_5	clawviper4_6	cr_lancer7	deathmauler5_6	doomknight2_5	fallen3	fingermage4_4	imp1_4	megademon2_7	mosquito1_6	pantherwoman5_5	sandleaper4_4	siegebeast2_4	slinger5_8	succubus5_4	swarm3_6	unraveler4_6	vampire6_7	vilemother1_4	willowisp6_6	wraith2	zombie4_6		baboon3_7	batdemon5_6	bonefetish4_5	cantor1_5	clawviper4_6	cr_lancer7	deathmauler5_6	doomknight2_5	fallen3	fingermage4_4	imp1_4	megademon2_7	mosquito1_6	pantherwoman5_5	sandleaper4_4	siegebeast2_4	slinger5_8	succubus5_4	swarm3_6	unraveler4_6	vampire6_7	vilemother1_4	willowisp6_6	wraith2	zombie4_6	baboon3_7	batdemon5_6	bonefetish4_5	cantor1_5	clawviper4_6	cr_lancer7	deathmauler5_6	doomknight2_5	fallen3	fingermage4_4	imp1_4	megademon2_7	mosquito1_6	pantherwoman5_5	sandleaper4_4	slinger5_8	succubus5_4	swarm3_6	unraveler4_6	vampire6_7	vilemother1_4	willowisp6_6	wraith2	zombie4_6		rat	bat			30	30							8	5	255	Tower Cellar Level 3	To The Tower Cellar Level 3	EnteringTheTowerCellarLevel3	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Act 1 - Crypt 3 D	Tower Cellar Level 4	24	0	0			16	200	200	200	200	200	200	2500	1900	0	1	0	0	0	1	1	1	0	1	1	4	-1	-1	-1	-1	23	25	0	0	0	0	0	0	8	9	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	2025	7	32	57	7	48	87	1024	1024	1024	3	4	3	4	3	4	1	0	3	baboon3_7	bloodlord3_8	blunderbore3_7	bonefetish4_5	clawviper4_6	cr_lancer4	deathmauler5_6	dkmag2_6	fallen2	fetish1	frozenhorror4_8	hellbovine_7	imp1_4	megademon2_7	mosquito1_6	sandleaper4_4	sandmaggot7_6	sandraider6_7	skeleton2	snowyeti3_8	suicideminion11_5	vampire6_7	vulture3_5	zealot3_8	zombie4_6		baboon3_7	bloodlord3_8	blunderbore3_7	bonefetish4_5	clawviper4_6	cr_lancer4	deathmauler5_6	dkmag2_6	fallen2	fetish1	frozenhorror4_8	hellbovine_7	imp1_4	megademon2_7	mosquito1_6	sandleaper4_4	sandmaggot7_6	sandraider6_7	skeleton2	snowyeti3_8	suicideminion11_5	vampire6_7	vulture3_5	zealot3_8	zombie4_6	baboon3_7	bloodlord3_8	blunderbore3_7	bonefetish4_5	clawviper4_6	cr_lancer4	deathmauler5_6	dkmag2_6	fallen2	fetish1	frozenhorror4_8	hellbovine_7	imp1_4	megademon2_7	mosquito1_6	sandleaper4_4	sandmaggot7_6	sandraider6_7	skeleton2	snowyeti3_8	vampire6_7	vulture3_5	zealot3_8	zombie4_6		rat	bat			30	30							8	5	255	Tower Cellar Level 4	To The Tower Cellar Level 4	EnteringTheTowerCellarLevel4	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
Act 1 - Crypt 3 E	Tower Cellar Level 5	25	0	0			17	30	30	30	30	30	30	2500	2200	0	1	0	0	0	1	1	1	0	1	2	4	-1	-1	-1	-1	24	0	0	0	0	0	0	0	8	-1	-1	-1	-1	-1	-1	-1	0	255	255	255	0	0	1	0	100	7	32	57	7	49	88	1024	1024	1024	3	4	3	4	3	4	1	0	3	arach4_7	baboon3_7	batdemon5_6	bloodlord3_8	blunderbore3_7	bonefetish4_5	fallen4	fetishblow1	fingermage4_4	minion10_7	mosquito1_6	mummy3_6	pantherwoman5_5	putriddefiler4_8	sandmaggot7_6	sandraider6_7	skeleton2	slinger2_4	slinger5_8	succubus5_4	succubuswitch9_7	suicideminion11_5	vampire6_7	vulture3_5	zombie4_6		arach4_7	baboon3_7	batdemon5_6	bloodlord3_8	blunderbore3_7	bonefetish4_5	fallen4	fetishblow1	fingermage4_4	minion10_7	mosquito1_6	mummy3_6	pantherwoman5_5	putriddefiler4_8	sandmaggot7_6	sandraider6_7	skeleton2	slinger2_4	slinger5_8	succubus5_4	succubuswitch9_7	suicideminion11_5	vampire6_7	vulture3_5	zombie4_6	arach4_7	baboon3_7	batdemon5_6	bloodlord3_8	blunderbore3_7	bonefetish4_5	fallen4	fetishblow1	fingermage4_4	minion10_7	mosquito1_6	mummy3_6	pantherwoman5_5	putriddefiler4_8	sandmaggot7_6	sandraider6_7	skeleton2	slinger2_4	slinger5_8	succubus5_4	succubuswitch9_7	vampire6_7	vulture3_5	zombie4_6		rat	bat			30	30							8	5	255	Tower Cellar Level 5	To The Tower Cellar Level 5	EnteringTheTowerCellarLevel5	15	0	0	0	0	0	0	0	25	0	0	0	0	0	0	0	Act 1 - Forgotten Tower
