Name	version	spawnable	rare	level	maxlevel	levelreq	classspecific	class	classlevelreq	frequency	group	mod1code	mod1param	mod1min	mod1max	mod2code	mod2param	mod2min	mod2max	mod3code	mod3param	mod3min	mod3max	transformcolor	itype1	itype2	itype3	itype4	itype5	itype6	itype7	etype1	etype2	etype3	etype4	etype5	multiply	add
of Craftsmanship	0	1	1	1		1					13	swing2		20	20	balance2		10	10	allskills		2	2		weap	ring	amul										0	0
of Quality	0	1	1	4		3					13	thorns		5	10	dmg-pois	50	187	187	res-all		25	25		weap												0	0
of Maiming	0	1	1	7		5					13	vit		5	5	res-ltng		8	10	att-undead		25	75		weap												0	0
of Slaying	0	1	1	11		8					13	abs-cold		15	15	cast2		20	20	fire-max	0	24	24		weap												0	0
of Gore	0	1	1	14		10					13	stupidity		33	33	balance3		30	30	dex		7	10		weap												0	0
of Carnage	0	1	1	19		14					13	red-dmg		5	5	move3		30	30	skilltab	13	1	1	blac	weap							wand	staf				0	0
of Slaughter	0	1	1	25		18					13	gethit-skill	38	12	4	cold-min		6	9	cold-max		19	30	blac	weap							wand	staf				0	0
of Maiming	0	1	1	42		31					13	res-fire		45	45	dmg%		150	200	crush		25	25		shld	ring	amul										0	0
of Worth	0	1	1	2		1					14	nec		1	1	hp/lvl	8			move3		40	40		weap							rod					0	0
of Measure	0	1	1	6		4					14	dmg-pois	100	102	102	skilltab	20	1	1	pal		2	3		weap												0	0
of Excellence	0	1	1	12		9					14	str		15	15	mana		16	20	dex		3	4		weap	ring	amul										0	0
of Performance	0	1	1	18		13					14	swing2		20	20	dmg-fire		17	45	mana		50	50	blac	weap												0	0
of Measure	0	1	1	37		27					14	dmg%		150	180	res-all		40	50	dmg-undead	0	54	54		tors	helm	ring	amul									0	0
of Blight	0	1	1	5		3					15	oskill	118	2	2	dex		35	35	dmg%		21	30		weap							scep					0	0
of Venom	0	1	1	15		11					15	allskills		1	1	regen-stam		25	25						weap							scep					0	0
of Pestilence	0	1	1	25		18					15	red-dmg%		30	30	all-stats		5	10	ac		21	40	dgrn	weap							scep					0	0
of Blight	0	1	1	45		33					15	ac-miss		100	100	str		10	20	move1		10	10		ring	amul											0	0
of Dexterity	0	1	1	4		3					16	dmg-fire		232	323	mana	0	1	5	str		11	15		ring	amul											0	0
of Dexterity	0	1	1	5		3					16	res-cold	0	12	12	bar		2	2	hp		21	30		scep	miss	boot	glov	ring	amul							0	0
of Skill	0	1	1	10		7					16	fire-min		81	120	fire-max		131	180	ac%		75	100		scep	miss	boot	glov	ring	amul							0	0
of Skill	0	1	1	45		33					16	light		-1	-1	hit-skill	87	5	1	ac/lvl	4				armo							boot	glov				0	0
of Accuracy	0	1	1	18		13					16	hit-skill	66	2	5	mana		5	10	oskill	8	4	4		scep	miss	boot	glov	ring	amul							0	0
of Precision	0	1	1	22		16					16	ac/lvl	16			skilltab	10	1	1						scep	miss	amul										0	0
of Precision	0	1	1	60		45					16	manasteal		4	7	gold%		11	22	oskill	234	7	7		armo	ring											0	0
of Perfection	0	1	1	30		22					16	oskill	52	45	10	dmg%		170	220	light		2	2	dgld	miss	glov	amul										0	0
of Balance	0	1	1	5		3					17	dmg-to-mana		35	35	addxp		5	10	att		4	8		armo							glov					0	0
of Stability	0	1	1	9		6					17	stupidity		2	2	ac%		180	200	balance3		40	40	dyel	armo							glov					0	0
																																					0	0
of Regeneration	0	1	1	10		7					19	swing2		30	30	heal-kill		14	14	dmg-to-mana		7	12		scep	belt	ring	amul									0	0
of Regeneration	0	1	1	40		30					19	aura	Concentration	8	12	dmg-max		1	2	ac		75	75		shld	glov											0	0
of Regeneration	0	1	1	70		52					19	dex		15	15	oskill	Holy Bolt	2	4	ac		90	90		tors	helm	weap	boot				scep					0	0
of Regrowth	0	1	1	17		12					19	dmg%		100	100	mana		20	20	noheal		1	1	cred	scep	amul											0	0
of Regrowth	0	1	1	55		41					19	dex		10	10	dmg-max		11	12	str		21	30	cred	belt	ring											0	0
of Vileness	0	1	1	9		6					20	block		55	55	move3		30	30						mele							scep					0	0
																																					0	0
of Greed	0	1	1	2		1					22	dmg-undead		50	50	att%		50	80	red-mag		4	4		ring	amul											0	0
of Wealth	0	1	1	17		12					22	manasteal		8	8	dmg-max		11	12	move3		40	40	lgld	boot	glov	belt	amul									0	0
of Chance	0	1	1	12		9					23	str/lvl	4			res-pois		8	9	block		30	30		ring	amul											0	0
of Fortune	0	1	1	16		12					23	res-pois-len		50	50	dmg-mag		250	500	allskills		2	2	lgld	boot	glov	amul										0	0
of Energy	0	1	1	4		3					24	regen-mana		15	15	dmg%		81	100	regen		5	5		ring	amul											0	0
of Energy	0	1	1	5		3					24	stupidity		2	2	swing3		15	15	res-pois	0	21	30		rod	ring	amul										0	0
of the Mind	0	1	1	10		7					24	hp/lvl	10			att-demon		101	150	str		1	3		rod	ring	amul										0	0
of Brilliance	0	1	1	18		13					24	crush		40	40	gethit-skill	48	25	3	lifesteal		8	8		rod	ring	amul										0	0
of Sorcery	0	1	1	22		16					24	res-all		30	40	manasteal		8	8	oskill	7	6	6	dgld	rod	amul											0	0
of Wizardry	0	1	1	30		22					24	dmg%		150	200	mana%		10	10	dmg-ltng		23	333	dgld	rod	ring	amul										0	0
of the Bear	0	1	1	8		6					25	cold-min		1	1	cold-max		1	4	cold-len		125	125		mele												0	0
of Light	0	1	1	6		4					26	deadly		30	30	allskills		1	1	att-skill	Nova	15	22		armo	rod	miss	ring	amul								0	0
of Radiance	0	1	1	15		11					26	dmg%		75	150	sor		2	2	dex	0	4	4		rod	miss	ring	amul									0	0
of the Sun	0	1	1	17		12					26	dmg%		75	150	light		3	3	res-all		20	20		rod	miss	glov	ring	amul								0	0
of Life	0	1	1	23		17					27	res-all		20	20	dmg-fire		13	46	sor		1	1		tors	helm	shld	belt	amul								0	0
of the Jackal	0	1	1	3		2					27	red-dmg%		10	10	res-fire		50	50	dmg-ltng		6	45		armo	rod	ring	amul									0	0
of the Fox	0	1	1	6		4					27	swing2		20	20	oskill	Oak Sage	15	2	hit-skill	48	12	4		armo	rod	ring	amul									0	0
of the Wolf	0	1	1	14		10					27	oskill	77	2	2	hp%		20	20	swing2		30	30		armo	rod	ring	amul									0	0
of the Wolf	0	1	1	45		33					27	deadly		50	50	abs-ltng		20	20						weap							rod					0	0
of the Tiger	0	1	1	20		15					27	att-undead		150	250	dmg%		160	210	oskill	240	127	13		armo	ring	amul										0	0
of the Mammoth	0	1	1	24		18					27	dmg-to-mana		5	5	light		2	2	nofreeze		1	1	cred	tors	helm	shld	ring	amul								0	0
of the Mammoth	0	1	1	60		45					27	dmg-ltng		41	240	res-fire		24	24	dex		1	2	cred	mele	glov	belt					rod					0	0
of the Colosuss	0	1	1	30		22					27	red-dmg		10	15	dmg%		31	40	oskill	106	4	4	cred	tors	helm	shld	belt	amul								0	0
of the Leech	0	1	1	6		4					28	balance2		20	20	res-fire		35	35	skilltab	13	3	3		weap	ring	amul										0	0
of the Locust	0	1	1	20		15					28	regen-mana		30	30	mana-kill		20	20	dex		10	10	cred	mele												0	0
of the Bat	0	1	1	6		4					29	dmg%		150	190	balance2		20	20	dmg-undead		25	50		weap	ring	amul										0	0
of the Vampire	0	1	1	20		15					29	ac%		30	50	deadly		50	50	openwounds		50	50	cblu	mele												0	0
of Defiance	0	1	1	25		18					30	ac%		150	150	extra-cold		8	15	mag%	0	20	20	dred	tors	helm	shld	amul									0	0
of Amelioration	0	1	1	18		13					30	dmg%		20	40	pal		2	2	light		1	1		tors	helm	shld	amul									0	0
of Remedy	0	1	1	7		5					30	fire-min	0	8	8	fire-max	0	12	12	enr		15	15		armo	ring	amul										0	0
																																					0	0
of Simplicity	0	1	1	25		18					32	move3		40	40	res-all		25	25						tors	helm	weap	shld				rod					0	0
of Ease	0	1	1	15		11					32	aura	Fanaticism	1	1	hit-skill	66	5	2						tors	helm	weap	shld				rod					0	0
																																					0	0
of Strength	0	1	1	5		3					34	lifesteal		8	8	thorns		20	40	dex		15	15		belt	ring	amul										0	0
of Might	0	1	1	10		7					34	cold-min		11	15	cold-max		21	30	res-pois-len	0	75	75		mele	shld	ring	amul				wand	staf				0	0
of the Ox	0	1	1	18		13					34	nofreeze		1	1	cast2		20	20	str		5	6		mele	belt	ring	amul				wand	staf				0	0
of the Ox	0	1	1	47		35					34	bar		1	1	ignore-ac		1	1	dex		6	9		shld	boot	glov										0	0
of the Giant	0	1	1	22		16					34	mana-kill		5	5	lifesteal		5	9	balance2		25	25	dgld	mele	belt	amul					wand	staf				0	0
of the Giant	0	1	1	62		46					34	att		50	100	swing2		20	20	str		10	10	dgld	boot	glov	ring	shld									0	0
of the Titan	0	1	1	30		22					34	att		40	40	mag%		50	50	dmg%		200	200	dgld	boot	belt	amul										0	0
of Pacing	0	1	1	2		1					35	gethit-skill	Iron Maiden	8	6	dmg-demon		25	40	dex		4	6		boot												0	0
of Haste	0	1	1	12		9					35	ltng-min	0	1	1	ltng-max	0	8	8	ac		100	100		boot												0	0
of Speed	0	1	1	22		16					35	fire-min		2	3	fire-max		4	12	fire-max		10	10		boot												0	0
Expansion																																						
of Health	1	1	1	7		5				4	1	pois-min		48	48	pois-max		96	96	pois-len		150	150		tors	shld	ring	amul	circ								0	0
of Protection	1	1	1	18		13				4	1	light		4	4	ac%		140	200	manasteal		4	8		ring	amul	circ										0	0
of Absorption	1	1	1	26		19				4	1	nofreeze		1	1	fire-min		1	1	fire-max		2	3		amul	circ											0	0
of Life	1	1	1	35		26				4	1	dmg-und/lvl	60			ac%		25	25	att-undead		175	250	dblu	amul	circ											0	0
of Life Everlasting	100	1		45		37				4	1	oskill	129	3	3	res-ltng		20	20	mana/lvl	6				amul	circ											0	0
of Protection	1	1	1	24		18				4	1	ac		30	30	nec	0	2	2						tors	shld	circ										0	0
of Absorption	1	1	1	32		24				4	1	light		7	7	dmg%		35	35	res-fire		15	15		tors	shld	circ										0	0
of Life	1	1	1	41		33				4	1	ac%		120	120	allskills		2	2	death-skill	Meteor	100	31		tors	shld	circ										0	0
of Anima	100	1		51		43				4	1	str		12	12	dmg-cold	100	15	45	move2		20	20		tors	shld	circ										0	0
of Warding	1	1	1	7		5				4	2	res-ltng-max		5	5	dru		2	2	hp		31	40		tors	shld	ring	amul	orb	circ							0	0
of the Sentinel	1	1	1	18		12				4	2	ac		15	15	ac%		120	150	att		21	40		ring	amul	orb	circ									0	0
of Guarding	1	1	1	26		19				4	2	dmg-fire		120	120	ac		305	415	enr		7	10		amul	orb	circ										0	0
of Negation	100	1		42		35				4	2	ease		-60	-60	ac		170	210	block2		30	30		amul	orb	circ										0	0
of the Sentinel	1	1	1	24		18				4	2	ac		15	15	dex		20	30	res-pois		11	12		tors	shld	circ										0	0
of Guarding	1	1	1	32		24				4	2	dmg-ltng		1	28	hp		50	50	swing2		30	30		tors	shld	circ										0	0
of Negation	100	1		41		33				4	2	str		15	15	att		20	20	regen	0	4	4		tors	shld	circ										0	0
of Coolness	100		1	11		8				1	3	abs-fire		2	2										tors	shld	boot	circ									0	0
of Incombustibility	100		1	19		14				1	3	abs-fire		3	3										tors	shld	boot	circ									0	0
of Amianthus	100		1	28		21				1	3	abs-fire		4	5										tors	shld	boot	circ									0	0
of Fire Quenching	100			38		30				1	3	abs-fire		6	8										tors	shld	boot	circ									0	0
of Coolness	100		1	13		9				1	3	abs-fire		2	2										ring	amul	orb	circ									0	0
of Incombustibility	100		1	22		16				1	3	abs-fire		3	3										amul	orb	circ										0	0
of Amianthus	100		1	33		25				1	3	abs-fire		4	5										amul	orb	circ										0	0
of Fire Quenching	100			46		38				1	3	abs-fire		6	8										amul	orb	circ										0	0
of Faith	100		1	23		17				1	3	abs-fire		1	2										jewl												0	0
of Resistance	100		1	11		8				1	3	abs-ltng		2	2										tors	shld	boot	circ									0	0
of Insulation	100		1	19		14				1	3	abs-ltng		3	3										tors	shld	boot	circ									0	0
of Grounding	100		1	28		21				1	3	abs-ltng		4	5										tors	shld	boot	circ									0	0
of the Dynamo	100			38		30				1	3	abs-ltng		6	8										tors	shld	boot	circ									0	0
of Resistance	100		1	13		9				1	3	abs-ltng		2	2										ring	amul	orb	circ									0	0
of Insulation	100		1	22		16				1	3	abs-ltng		3	3										amul	orb	circ										0	0
of Grounding	100		1	33		25				1	3	abs-ltng		4	5										amul	orb	circ										0	0
of the Dynamo	100			46		38				1	3	abs-ltng		6	8										amul	orb	circ										0	0
of Stoicism	100		1	22		16				1	3	abs-ltng		1	2										jewl												0	0
of Warming	100		1	11		8				1	3	abs-cold		2	2										tors	shld	boot	circ									0	0
of Thawing	100		1	19		14				1	3	abs-cold		3	3										tors	shld	boot	circ									0	0
of the Dunes	100		1	28		21				1	3	abs-cold		4	5										tors	shld	boot	circ									0	0
of the Sirocco	100			38		30				1	3	abs-cold		6	8										tors	shld	boot	circ									0	0
of Warming	100		1	13		9				1	3	abs-cold		2	2										ring	amul	orb	circ									0	0
of Thawing	100		1	22		16				1	3	abs-cold		3	3										amul	orb	circ										0	0
of the Dunes	100		1	33		25				1	3	abs-cold		4	5										amul	orb	circ										0	0
of the Sirocco	100			46		38				1	3	abs-cold		6	8										amul	orb	circ										0	0
of Desire	100		1	23		17				1	3	abs-cold		1	2										jewl												0	0
of Piercing	1	1	1	25		18				2	4	dmg%		100	100	res-cold		13	15	lifesteal		20	20		rod	knif	h2h										0	0
of Bashing	100		1	16		12				4	5	dmg-ac		-25	-40										blun							wand	staf	orb			0	0
of Puncturing	100		1	6		4				4	5	dmg-ac		-10	-20										spea	knif	h2h										0	0
of Thorns	1	1	1	14		10				4	6	nec		2	2	dex		25	25	dmg-max		3	4		tors	shld	belt	circ									0	0
of Spikes	1	1	1	21		15				4	6	balance2		30	30	ac%		31	40	att		200	200	oran	tors	shld	belt	circ									0	0
of Razors	100	1	1	34		26				4	6	mana-kill		3	3	ac%		200	200	res-ltng		40	40	oran	tors	shld	circ										0	0
of Swords	100	1		47		39				4	6	openwounds		30	30	enr		20	20	reduce-ac		50	50	oran	tors	shld	circ										0	0
of Malice	100	1	1	37		29				4	6	lifesteal		5	5	dmg%		180	250	deadly		33	33		jewl												0	0
of Readiness	1	1	1	5		3				6	7	dmg-to-mana		12	12	str	0	10	10	mag%		5	15		weap							wand	orb				0	0
of Alacrity	1	1	1	25		17				6	7	swing2		20	20	hit-skill	66	5	1	balance2		20	20		weap							wand	orb				0	0
of Swiftness	1	1	1	34		26				6	7	move2		20	20	levelup-skill	Venom	100	23	mag%		1	4		mele							wand	staf	orb			0	0
of Quickness	1	1	1	46		38				5	7	dmg-ltng		1	74	hit-skill	Frost Nova	25	22	move3		35	35	dyel	mele							wand	staf	orb			0	0
of Alacrity	100	1	1	43		35				4	7	dmg%		150	200	balance3		12	12	enr		7	10	dyel	glov												0	0
of Fervor	100	1		39		31				4	7	ac		15	15	str		20	20	dmg-min		9	14		jewl												0	0
of Blocking	1	1	1	1		1				7	8	ac%		150	200	swing3		40	40	res-cold		16	20		shld												0	0
of Deflecting	1	1	1	11		8				6	8	ltng-min		1	1	ltng-max		27	58	enr		20	30		shld												0	0
of the Apprentice	1	1	1	5		3				6	9	skilltab	9	2	4	mana		15	15	res-cold		8	10		rod	ring	amul	orb	circ								0	0
of the Magus	1	1	1	29		21				5	9	ac		300	350	mana	0	41	60	dmg-min		6	9		rod	orb	circ					scep					0	0
of Frost	1	1	1	4		3				5	10	fire-min		1	3	fire-max		6	10	ac%		40	40		weap							wand	orb				0	0
of the Icicle	100	1	1	13		9				4	10	dmg-norm		5	10	half-freeze		1	1	dmg-pois	100	39	39		weap							wand	orb				0	0
of the Glacier	1	1	1	27		20				3	10	cold-min		1	1	cold-max		2	2	cold-len		25	25	dblu	weap							wand	orb				0	0
of Winter	100	1	1	45		37				2	10	dmg%		160	220	dmg-norm		40	62					dblu	mele							wand	orb				0	0
of Frost	1	1	1	55		41				2	10	red-dmg		2	2	att		6	12	skilltab	12	3	3		belt	amul											0	0
of Frigidity	100	1	1	16		12				2	10	att-demon		200	200	block		40	40	dmg-cold	250	250	500	dblu	jewl												0	0
of Warmth	1	1	1	10		7				4	11	ac/lvl	16			ac		75	75						shld	boot	glov	ring	amul	circ	orb						0	0
of Flame	1	1	1	4		3				5	12	stam		180	180	hit-skill	Fire Ball	5	15						weap							wand	orb				0	0
of Fire	1	1	1	15		11				4	12	dex		5	5	stam		26	32	dmg-pois	100	39	39		weap							wand	orb				0	0
of Burning	1	1	1	25		18				3	12	ac		50	120	red-dmg		2	2	dmg-pois	125	52	52	dred	weap							wand	orb				0	0
of Incineration	100	1	1	43		35				2	12	dmg-demon		150	200	swing2		10	10	hit-skill	Venom	25	15	dred	mele							wand	orb				0	0
of Flame	100	1	1	40		30				2	12	ac%		100	100	ac		75	150	dmg%		180	230		glov	ring	amul										0	0
of Passion	100	1	1	15		11				2	12	nofreeze		1	1	att%		180	250	att		25	36	dred	jewl												0	0
of Shock	1	1	1	4		3				5	13	oskill	Inferno Sentry	1	2	ac	0	24	24	regen-mana	0	12	12		weap							wand	orb				0	0
of Lightning	1	1	1	15		11				4	13	move2		30	30	extra-cold		8	15	oskill	Fire Ball	18	18		weap							wand	orb				0	0
of Thunder	1	1	1	25		18				3	13	ac-miss		100	160	att		10	20	gold%	0	75	75	dyel	weap							wand	orb				0	0
of Storms	100	1	1	34		26				2	13	dex		10	10	res-all		10	10	swing2		30	30	dyel	mele							wand	orb				0	0
of Shock	100	1	1	50		37				2	13	freeze		3	3	thorns		5	5	dmg%		160	200		boot	ring	amul										0	0
of Ennui	100	1	1	15		11				2	13	oskill	103	3	3	dmg-fire		55	115	dmg%		200	200	dyel	jewl												0	0
of Craftsmanship	1	1	1	1		1				8	14	ac%		120	150	half-freeze		1	1	skilltab	0	1	1		weap	ring	amul					wand	staf	orb			0	0
of Quality	1	1	1	4		3				8	14	ac		40	40	dmg%		150	250	hp	0	31	31		weap							wand	staf	orb			0	0
of Maiming	1	1	1	7		5				7	14	ac		305	415	hit-skill	44	10	3	dmg-to-mana		15	15		weap							wand	staf	orb			0	0
of Slaying	1	1	1	11		8				7	14	dex		2	2	ac		140	140	res-cold	0	16	16		weap							wand	staf	orb			0	0
of Gore	1	1	1	14		10				6	14	dmg-min		10	10	thorns		8	10	oskill	45	8	8		weap							wand	staf	orb			0	0
of Carnage	1	1	1	19		14				6	14	oskill	60	2	2	dmg%		120	120	dex		15	15	blac	weap							wand	staf	orb			0	0
of Slaughter	1	1	1	25		18				5	14	ac%		30	60	regen		12	12	dmg%		280	280	blac	weap							wand	staf	orb			0	0
of Butchery	100	1		35		27				5	14	deadly		30	30	mana		16	20	res-all	0	25	25	blac	weap							wand	staf	orb			0	0
of Evisceration	100	1		45		37				4	14	abs-cold%		20	20	death-skill	Poison Nova	100	51	kill-skill	Chain Lightning	50	20	blac	weap							wand	staf	orb			0	0
of Maiming	1	1	1	42		34				4	14	res-all		15	15	dmg%		180	220	red-mag		1	1		shld	ring	amul										0	0
of Craftsmanship	100	1	1	1	7	1				4	14	swing2		25	25	cast2		10	10	skilltab	1	2	2		circ												0	0
of Craftsmanship	100	1	1	8	14	6				4	14	light		3	3	mag%		16	25	regen-mana		15	15		circ												0	0
of Craftsmanship	100	1	1	15		11				4	14	ac		25	25	skilltab	7	3	3	red-dmg%		24	24		circ												0	0
of Quality	100	1	1	23	29	17				4	14	ac%		90	120	death-skill	Chain Lightning	100	44	res-all		15	15		circ												0	0
of Quality	100	1	1	30		22				4	14	dmg%		50	70	deadly		35	35	dmg-pois	125	52	52		circ												0	0
of Maiming	100	1		37	44	29				4	14	light		4	4	dmg%		50	70	red-dmg	0	7	7		circ												0	0
of Maiming	100	1		45		37				4	14	block2		20	20	fire-min		3	5	fire-max		6	11		circ												0	0
of Craftsmanship	100	0	1	8	17	6				4	14	dmg-max		1	1										mcha												0	0
of Craftsmanship	100	0	1	18		13				4	14	dmg-max		2	2										mcha												0	0
of Quality	100	0	1	28	37	21				4	14	dmg-max		3	4										mcha												0	0
of Quality	100	0	1	38		30				4	14	dmg-max		5	6										mcha												0	0
of Maiming	100	0		48		40				4	14	dmg-max		7	8										mcha												0	0
of Craftsmanship	100	0	1	21		15				4	14	dmg-max		1	1										scha												0	0
of Quality	100	0	1	36		28				4	14	dmg-max		2	2										scha												0	0
of Maiming	100	0		51		43				4	14	dmg-max		3	4										scha												0	0
of Ire	100	1	1	4		3				4	14	ac/lvl	40			dmg-pois	100	54	54	regen		3	5		jewl												0	0
of Wrath	100	1	1	11		8				4	14	block		20	20	reduce-ac		33	33	dmg-ltng		20	60	blac	jewl												0	0
of Carnage	100	1		25		18				4	14	fire-min	0	3	3	fire-max	0	4	4	hit-skill	225	4	12	blac	jewl													
of Worth	1	1	1	1		1				8	15	ac%		10	20	att		41	60	mag%		3	7		weap							staf	wand	orb			0	0
of Measure	1	1	1	12		9				7	15	fire-min		1	1	fire-max		2	2	str		10	10		weap							staf	wand	orb			0	0
of Excellence	1	1	1	24		18				6	15	death-skill	Chain Lightning	100	47	att		75	75						weap							staf	wand	orb			0	0
of Performance	1	1	1	48		40				5	15	cold-min		8	13	cold-max		16	25	lifesteal		5	5	blac	weap							staf	wand	orb			0	0
of Transcendence	100	1	1	76		68				4	15	oskill	83	27	15	dmg%	0	21	30	res-cold	0	11	20	blac	weap							staf	wand	orb			0	0
of Worth	1	1	1	15		11				4	15	ac		30	30	dmg%		130	160	cast1		10	10		ring	amul	circ										0	0
of Measure	1	1	1	37		29				4	15	manasteal		100	100	ac		30	30	mana/lvl	6				ring	amul	circ										0	0
of Excellence	1	1	1	59		51				4	15	ac%		50	80	skilltab	13	2	2	att		10	20		ring	amul	circ										0	0
of Performance	100	1		81		73				4	15	thorns		3	3	ac		75	125	att		110	110		ring	amul	circ										0	0
of Joyfulness	100	1	1	5		3				4	15	extra-cold		15	30	res-ltng		40	40	att		75	75	whit	jewl												0	0
of Bliss	100	1	1	43		37				4	15	ac		100	100	skilltab	14	2	2	oskill	245	5	5	whit	jewl												0	0
of Blight	1	1	1	5		3				5	16	dmg-norm		3	7	pierce-immunity-cold		300	300	abs-cold/lvl		2	2		weap	circ						rod	orb				0	0
of Venom	1	1	1	15		11				4	16	dmg-undead		50	50	oskill	Iron Maiden	40	15	block		10	10		weap	circ						rod	orb				0	0
of Pestilence	1	1	1	25		18				3	16	light		-4	-4	swing2		40	40	manasteal		10	15	dgrn	weap	circ						rod	orb				0	0
of Anthrax	100	1	1	33		25				2	16	fire-min		1	4	fire-max		6	11	oskill	Feral Rage	3	6	dgrn	weap							rod	orb				0	0
of Blight	100	1	1	45		33				2	16	att		30	30	dmg%		180	200	ac		108	108		ring	amul											0	0
of Envy	100	1	1	1		1				2	16	dmg%		150	200	thorns		8	10	manasteal		3	3	dgrn	jewl												0	0
of Dexterity	1	1	1	1		1				4	17	mag%		50	50	res-pois		27	27	dex		3	5		amul	miss	circ										0	0
of Skill	1	1	1	11		8				3	17	res-all		5	5	balance3		24	24	res-cold	0	11	20		amul	miss	circ										0	0
of Accuracy	1	1	1	27		20				3	17	dmg-fire		20	240	dru		1	1	stam		100	100		amul	miss	circ										0	0
of Precision	1	1	1	43		35				3	17	swing2		20	20	red-dmg%		15	25	str		16	20		amul	miss	circ										0	0
of Perfection	1	1	1	59		51				3	17	all-stats		10	20	swing2		30	30	dmg-dem/lvl	8			dgld	amul	miss	circ										0	0
of Nirvana	100	1		72		64				3	17	res-fire		45	45	mag%		25	40	str		25	25	dgld	amul	miss	circ										0	0
of Dexterity	1	1	1	6		4				4	17	gethit-skill	44	5	9	fireskill		2	2	ac%		150	200		ring	glov											0	0
of Skill	1	1	1	22		16				3	17	ac%		20	30	dru		1	1	dmg%		31	40		ring	glov											0	0
of Accuracy	1	1	1	39		31				3	17	str		10	10	res-pois		50	50	dmg-max	0	5	5		ring	glov											0	0
