Level	AC	AC(N)	AC(H)	L-AC	L-AC(N)	L-AC(H)	TH	TH(N)	TH(H)	L-TH	L-TH(N)	L-TH(H)	HP	HP(N)	HP(H)	L-HP	L-HP(N)	L-HP(H)	DM	DM(N)	DM(H)	L-DM	L-DM(N)	L-DM(H)	XP	XP(N)	XP(H)	L-XP	L-XP(N)	L-XP(H)
28	168	367	551	168	432	648	861	1782	3726	861	1782	3726	1200	2800	14370	1200	2800	19160	90	120	165	90	120	165	1728	4482	6723	1728	4482	6723
29	174	377	566	174	444	666	894	1836	3840	894	1836	3840	1260	2870	14600	1260	2870	19470	95	125	175	95	125	175	1848	4794	7191	1848	4794	7191
30	180	388	581	180	456	683	927	1890	3954	927	1890	3954	1340	3200	14820	1340	3200	19760	95	125	175	95	125	175	1977	5127	7692	1977	5127	7692
31	186	398	596	186	468	701	960	1944	4068	960	1944	4068	1420	3550	15050	1420	3550	20070	100	135	185	100	135	185	2118	5496	8244	2118	5496	8244
32	192	408	610	192	480	718	993	1998	4182	993	1998	4182	1500	3880	15270	1500	3880	20360	100	135	185	100	135	185	2265	5874	8811	2265	5874	8811
33	198	418	626	198	492	736	1026	2052	4296	1026	2052	4296	1580	4230	15500	1580	4230	20670	105	140	195	105	140	195	2424	6291	9438	2424	6291	9438
34	204	428	641	204	504	754	1059	2106	4410	1059	2106	4410	1660	4560	15720	1660	4560	20960	110	145	205	110	145	205	2592	6723	10086	2592	6723	10086
35	210	439	655	210	516	771	1092	2160	4524	1092	2160	4524	1740	4910	15950	1740	4910	21270	110	145	205	110	145	205	2775	7197	10797	2775	7197	10797
36	216	449	671	216	528	789	1125	2214	4638	1125	2214	4638	1820	5250	16170	1820	5250	21560	115	155	215	115	155	215	2970	7704	11556	2970	7704	11556
37	222	459	685	222	540	806	1158	2268	4752	1158	2268	4752	1900	5590	16400	1900	5590	21870	115	155	215	115	155	215	3177	8235	12354	3177	8235	12354
38	228	469	700	228	552	824	1191	2322	4866	1191	2322	4866	1980	5930	16620	1980	5930	22160	120	160	220	120	160	220	3399	8817	13227	3399	8817	13227
39	234	479	716	234	564	842	1224	2376	4980	1224	2376	4980	2060	6270	16850	2060	6270	22470	125	165	230	125	165	230	3636	9432	14148	3636	9432	14148
40	240	490	730	240	576	859	1257	2430	5094	1257	2430	5094	2150	6610	17070	2150	6610	22760	125	165	230	125	165	230	3891	10095	15144	3891	10095	15144
41	246	500	745	246	588	877	1290	2484	5208	1290	2484	5208	2250	6960	17300	2250	6960	23070	130	175	240	130	175	240	4164	10800	16200	4164	10800	16200
42	252	510	760	252	600	894	1323	2538	5322	1323	2538	5322	2340	7290	17520	2340	7290	23360	130	175	240	130	175	240	4455	11556	17334	4455	11556	17334
43	258	520	775	258	612	912	1356	2592	5436	1356	2592	5436	2430	7640	17750	2430	7640	23670	135	180	250	135	180	250	4767	12363	18546	4767	12363	18546
44	264	530	791	264	624	930	1389	2646	5550	1389	2646	5550	2530	7970	17970	2530	7970	23960	140	185	260	140	185	260	5079	13227	19842	5079	13227	19842
45	270	541	805	270	636	947	1422	2700	5664	1422	2700	5664	2620	8320	18200	2620	8320	24270	140	185	260	140	185	260	5391	14154	21231	5391	14154	21231
46	276	551	820	276	648	965	1455	2754	5778	1455	2754	5778	2710	8670	18420	2710	8670	24560	145	195	270	145	195	270	5703	15153	22731	5703	15153	22731
47	282	561	835	282	660	982	1488	2808	5892	1488	2808	5892	2810	9000	18650	2810	9000	24870	145	195	270	145	195	270	6015	16206	24309	6015	16206	24309
48	288	571	850	288	672	1000	1521	2862	6006	1521	2862	6006	2900	9350	18870	2900	9350	25160	150	200	280	150	200	280	6327	17349	26025	6327	17349	26025
49	294	581	865	294	684	1018	1554	2916	6120	1554	2916	6120	2990	9680	19100	2990	9680	25470	155	205	285	155	205	285	6639	18558	27837	6639	18558	27837
50	300	592	880	300	696	1035	1587	2970	6234	1587	2970	6234	3100	10030	19320	3100	10030	25760	155	205	285	155	205	285	6951	19854	29781	6951	19854	29781
51	306	602	895	306	708	1053	1620	3024	6348	1620	3024	6348	3210	10370	19550	3210	10370	26070	160	215	295	160	215	295	7263	21240	31860	7263	21240	31860
52	312	612	910	312	720	1070	1653	3078	6462	1653	3078	6462	3310	10710	19770	3310	10710	26360	160	215	295	160	215	295	7575	22518	33777	7575	22518	33777
53	318	622	925	318	732	1088	1686	3132	6576	1686	3132	6576	3420	11050	20000	3420	11050	26670	165	220	305	165	220	305	7887	23868	35802	7887	23868	35802
54	324	632	940	324	744	1106	1719	3186	6690	1719	3186	6690	3520	11390	20300	3520	11390	27070	170	225	315	170	225	315	8199	25305	37959	8199	25305	37959
55	330	643	955	330	756	1123	1752	3240	6804	1752	3240	6804	3630	11730	20750	3630	11730	27670	170	225	315	170	225	315	8511	26826	40239	8511	26826	40239
56	336	653	970	336	768	1141	1785	3294	6918	1785	3294	6918	3740	12080	21350	3740	12080	28470	175	235	325	175	235	325	8823	28431	42648	8823	28431	42648
57	342	663	984	342	780	1158	1818	3348	7032	1818	3348	7032	3840	12410	22220	3840	12410	29620	175	235	325	175	235	325	9135	30132	45198	9135	30132	45198
58	348	673	1000	348	792	1176	1851	3402	7146	1851	3402	7146	3950	12760	23080	3950	12760	30770	180	240	335	180	240	335	9447	31941	47913	9447	31941	47913
59	354	683	1015	354	804	1194	1884	3456	7260	1884	3456	7260	4060	13090	23940	4060	13090	31920	185	245	340	185	245	340	9759	33858	50787	9759	33858	50787
60	360	694	1029	360	816	1211	1917	3510	7374	1917	3510	7374	4180	13440	24800	4180	13440	33070	185	245	340	185	245	340	10071	35892	53838	10071	35892	53838
61	366	704	1045	366	828	1229	1950	3564	7488	1950	3564	7488	4300	13790	25670	4300	13790	34220	190	255	350	190	255	350	10383	38040	57060	10383	38040	57060
62	372	714	1059	372	840	1246	1983	3618	7602	1983	3618	7602	4420	14120	26530	4420	14120	35370	190	255	350	190	255	350	10695	40326	60489	10695	40326	60489
63	378	724	1074	378	852	1264	2016	3672	7716	2016	3672	7716	4540	14470	27390	4540	14470	36520	195	260	360	195	260	360	11007	42747	64122	11007	42747	64122
64	384	734	1090	384	864	1282	2049	3726	7830	2049	3726	7830	4660	14800	28250	4660	14800	37670	195	260	360	195	260	360	11319	45312	67968	11319	45312	67968
65	390	745	1104	390	876	1299	2082	3780	7944	2082	3780	7944	4770	15150	29120	4770	15150	38820	200	265	370	200	265	370	11631	48030	72045	11631	48030	72045
66	396	755	1119	396	888	1317	2115	3834	8058	2115	3834	8058	4890	15490	29980	4890	15490	39970	205	275	380	205	275	380	11943	50748	76122	11943	50748	76122
67	402	765	1134	402	900	1334	2148	3888	8172	2148	3888	8172	5010	15830	30840	5010	15830	41120	205	275	380	205	275	380	12255	53466	80199	12255	53466	80199
68	408	775	1149	408	912	1352	2181	3942	8286	2181	3942	8286	5130	16170	31700	5130	16170	42270	210	280	390	210	280	390	12567	56184	84276	12567	56184	84276
69	414	785	1165	414	924	1370	2214	3996	8400	2214	3996	8400	5250	16510	32570	5250	16510	43420	215	285	400	215	285	400	12879	58902	88353	12879	58902	88353
70	420	796	1179	420	936	1387	2247	4050	8514	2247	4050	8514	5390	16850	33430	5390	16850	44570	215	285	400	215	285	400	13191	61620	92430	13191	61620	92430
71	426	806	1194	426	948	1405	2280	4104	8628	2280	4104	8628	5520	17200	34290	5520	17200	45720	220	295	405	220	295	405	13503	64338	96507	13503	64338	96507
72	432	816	1209	432	960	1422	2313	4158	8742	2313	4158	8742	5650	17530	35150	5650	17530	46870	220	295	405	220	295	405	13815	67056	100584	13815	67056	100584
73	438	826	1224	438	972	1440	2346	4212	8856	2346	4212	8856	5790	17880	36020	5790	17880	48020	225	300	415	225	300	415	14127	69774	104661	14127	69774	104661
74	444	836	1239	444	984	1458	2379	4266	8970	2379	4266	8970	5920	18210	36880	5920	18210	49170	230	305	425	230	305	425	14439	72492	108738	14439	72492	108738
75	450	847	1254	450	996	1475	2412	4320	9084	2412	4320	9084	6050	18560	37740	6050	18560	50320	230	305	425	230	305	425	14751	75210	112815	14751	75210	112815
76	456	857	1269	456	1008	1493	2445	4374	9198	2445	4374	9198	6180	18910	38600	6180	18910	51470	235	315	435	235	315	435	15063	77928	116892	15063	77928	116892
77	462	867	1284	462	1020	1510	2478	4428	9312	2478	4428	9312	6320	19240	39470	6320	19240	52620	235	315	435	235	315	435	15375	80646	120969	15375	80646	120969
78	468	877	1299	468	1032	1528	2511	4482	9426	2511	4482	9426	6450	19590	40330	6450	19590	53770	240	320	445	240	320	445	15687	83364	125046	15687	83364	125046
79	474	887	1314	474	1044	1546	2544	4536	9540	2544	4536	9540	6580	19920	41190	6580	19920	54920	245	325	455	245	325	455	15999	86082	129123	15999	86082	129123
80	480	898	1329	480	1056	1563	2577	4590	9654	2577	4590	9654	6730	20270	42050	6730	20270	56070	245	325	455	245	325	455	16311	88800	133200	16311	88800	133200
81	486	908	1344	486	1068	1581	2610	4644	9768	2610	4644	9768	6880	20610	42920	6880	20610	57220	250	335	465	250	335	465	16623	91518	137277	16623	91518	137277
82	492	918	1358	492	1080	1598	2643	4698	9882	2643	4698	9882	7020	20950	43780	7020	20950	58370	250	335	465	250	335	465	16935	94236	141354	16935	94236	141354
83	498	928	1374	498	1092	1616	2676	4752	9996	2676	4752	9996	7170	21290	44640	7170	21290	59520	255	340	470	255	340	470	17247	96954	145431	17247	96954	145431
84	504	938	1389	504	1104	1634	2709	4806	10110	2709	4806	10110	7320	21630	45500	7320	21630	60670	255	340	470	255	340	470	17559	99672	149508	17559	99672	149508
85	510	949	1403	510	1116	1651	2742	4860	10224	2742	4860	10224	7460	21970	46370	7460	21970	61820	260	345	480	260	345	480	17871	102390	153585	17871	102390	153585
86	516	959	1419	516	1128	1669	2775	4914	10338	2775	4914	10338	7610	22320	47230	7610	22320	62970	265	350	490	265	350	490	18183	105108	157662	18183	105108	157662
87	522	969	1433	522	1140	1686	2808	4968	10452	2808	4968	10452	7750	22650	48090	7750	22650	64120	265	350	490	265	350	490	18495	107826	161739	18495	107826	161739
88	528	979	1448	528	1152	1704	2841	5022	10566	2841	5022	10566	7900	23000	48950	7900	23000	65270	270	360	500	270	360	500	18807	110544	165816	18807	110544	165816
89	534	989	1464	534	1164	1722	2874	5076	10680	2874	5076	10680	8050	23330	49820	8050	23330	66420	275	365	510	275	365	510	19119	113262	169893	19119	113262	169893
90	540	1000	1478	540	1176	1739	2907	5130	10794	2907	5130	10794	8210	23680	50680	8210	23680	67570	275	365	510	275	365	510	19431	115980	173970	19431	115980	173970
91	546	1010	1493	546	1188	1757	2940	5184	10908	2940	5184	10908	8370	24030	51540	8370	24030	68720	280	370	520	280	370	520	19743	118698	178047	19743	118698	178047
92	552	1020	1508	552	1200	1774	2973	5238	11022	2973	5238	11022	8530	24360	52400	8530	24360	69870	280	370	520	280	370	520	20055	121416	182124	20055	121416	182124
93	558	1030	1523	558	1212	1792	3006	5292	11136	3006	5292	11136	8680	24710	53270	8680	24710	71020	285	380	525	285	380	525	20367	124134	186201	20367	124134	186201
94	564	1040	1539	564	1224	1810	3039	5346	11250	3039	5346	11250	8840	25040	54130	8840	25040	72170	290	385	535	290	385	535	20679	126852	190278	20679	126852	190278
95	570	1051	1553	570	1236	1827	3072	5400	11364	3072	5400	11364	9000	25390	54990	9000	25390	73320	290	385	535	290	385	535	20991	129570	194355	20991	129570	194355
96	576	1061	1568	576	1248	1845	3105	5454	11478	3105	5454	11478	9160	25730	55850	9160	25730	74470	295	390	545	295	390	545	21303	132288	198432	21303	132288	198432
97	582	1071	1583	582	1260	1862	3138	5508	11592	3138	5508	11592	9320	26070	56720	9320	26070	75620	295	390	545	295	390	545	21615	135006	202509	21615	135006	202509
98	588	1081	1598	588	1272	1880	3171	5562	11706	3171	5562	11706	9480	26410	57580	9480	26410	76770	300	400	555	300	400	555	21927	137724	206586	21927	137724	206586
99	594	1091	1613	594	1284	1898	3204	5616	11820	3204	5616	11820	9640	26750	58440	9640	26750	77920	300	400	555	300	400	555	22239	140442	210663	22239	140442	210663
100	600	1102	1628	600	1296	1915	3237	5670	11934	3237	5670	11934	9820	27090	59300	9820	27090	79070	305	405	565	305	405	565	22551	143160	214740	22551	143160	214740
101	606	1112	1643	606	1308	1933	3270	5724	12048	3270	5724	12048	9990	27440	60170	9990	27440	80220	310	410	575	310	410	575	22863	145878	218817	22863	145878	218817
102	612	1122	1658	612	1320	1950	3303	5778	12162	3303	5778	12162	10160	27770	61030	10160	27770	81370	310	410	575	310	410	575	23175	148596	222894	23175	148596	222894
103	618	1132	1673	618	1332	1968	3336	5832	12276	3336	5832	12276	10330	28120	61890	10330	28120	82520	315	420	585	315	420	585	23487	151314	226971	23487	151314	226971
104	624	1142	1688	624	1344	1986	3369	5886	12390	3369	5886	12390	10510	28450	62750	10510	28450	83670	315	420	585	315	420	585	23799	154032	231048	23799	154032	231048
105	630	1153	1703	630	1356	2003	3402	5940	12504	3402	5940	12504	10680	28800	63620	10680	28800	84820	320	425	590	320	425	590	24111	156750	235125	24111	156750	235125
106	636	1163	1718	636	1368	2021	3435	5994	12618	3435	5994	12618	10850	29150	64480	10850	29150	85970	325	430	600	325	430	600	24423	159468	239202	24423	159468	239202
107	642	1173	1732	642	1380	2038	3468	6048	12732	3468	6048	12732	11030	29480	65340	11030	29480	87120	325	430	600	325	430	600	24735	162186	243279	24735	162186	243279
108	648	1183	1748	648	1392	2056	3501	6102	12846	3501	6102	12846	11200	29830	66200	11200	29830	88270	330	440	610	330	440	610	25047	164904	247356	25047	164904	247356
109	654	1193	1763	654	1404	2074	3534	6156	12960	3534	6156	12960	11370	30160	67070	11370	30160	89420	335	445	620	335	445	620	25359	167622	251433	25359	167622	251433
110	2100	2100	2100	2100	2100	2100	19596	19596	19596	19596	19596	19596	100000	100000	100000	100000	100000	100000	650	650	650	650	650	650	480000	480000	480000	480000	480000	480000
